key,tier,displayName,trials,matchedNames,roles,pageStructuralAnchor,confirmedByUniiOrInchikey,reason
"COMBO:{K1:6HG8UB2MUY,K1:8FG9H9D31J}",2,TAFAMIDIS MEGLUMINE,37,Fx-1006A; Tafamidis; Tafamidis (Reference); Tafamidis 61 MG; Tafamidis meglumine capsule,intervention; otherName,unii:ZU7CF08A1A; inchikey:TXEIIPDJKFWEEC-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:6HG8UB2MUY,K1:QE1Q24M65Y}",3,ARAMCHOL MEGLUMINE,13,Aramchol; Aramchol meglumine,intervention,unii:5Y5YPN6GAE; inchikey:SHKXZIQNFMOPBS-OOMQYRRCSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:6HG8UB2MUY,K1:S125DW66N8}",3,BEVIRIMAT DIMEGLUMINE,3,Bevirimat; bevirimat dimeglumine,intervention,unii:O6DDV91W1M; inchikey:YJEJKUQEXFSVCJ-WRFMNRASSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:6HG8UB2MUY,K1:Z40X7EI2AF}",2,IOXAGLATE MEGLUMINE,1,Ioxaglate,intervention,unii:75JR975T11; inchikey:TYYBFXNZMFNZJT-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:7673326042,K1:P7V86EYZ5L}",3,IRINOTECAN SUCROSOFATE,18,Irinotecan Sucrosofate; MM-398,intervention; otherName,unii:OL741S3N8B; inchikey:WEPNHBQBLCNOBB-UGDNZRGBSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:8G388563M7,K1:TE0865N2ET}",1,TELOTRISTAT ETIPRATE,20,Telotristat Etiprate; Telotristat etiprate; Xermelo; telotristat etiprate,intervention; otherName,unii:3T25U84H4U; inchikey:MDSQOJYHHZBZKA-GBXCKJPGSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:8GTS82S83M,K1:GE2UA340FM}",2,DIMENHYDRINATE,9,Dimenhydrinate; Dimenhydrinate Tablets,intervention,unii:JB937PER5C; inchikey:ZZVUWRFHKOJYTH-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:8ID597Z82X,K1:E524N2IXA3}",3,ORNITHINE OXOGLURATE,1,ornithine alpha ketoglutarate,stored,unii:4FEN49K96W; inchikey:KPGXRSRHYNQIFN-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:9100L32L2N,K1:HDC1R2M35U}",2,"Empagliflozin, Metformin",14,EMPAGLIFLOZIN/METFORMIN HCL; Empagliflozin & Metformin (Reference); Empagliflozin + Metformin; Empagliflozin and Metformin; Empagliflozin-Metformin,intervention; otherName,unii:HDC1R2M35U; inchikey:OBWASQILIWPZMG-QZMOQZSNSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:9100L32L2N,K1:JHC049LO86}",1,Alogliptin and Metformin,5,Alogliptin and Metformin; Alogliptin and Metformin hydrochloride; Alogliptin and metformin,intervention,inchikey:ZSBOMTDTBDDKMP-OAHLLOKOSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}",1,"Metformin Hydrochloride, Sitagliptin",30,Metformin / Sitagliptin Oral Tablet; Metformin/Sitagliptin; SITAGLIPTIN PHOSPHATE/METFORMIN HCL; Sitagliptin + Metformin; Sitagliptin Phosphate/Metformin HCl (JANUMET®),intervention; otherName,unii:786Z46389E; inchikey:XZWYZXLIPXDOLR-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:AN164J8Y0X,K1:JE42381TNV}",3,CO-TRIMOXAZOLE,19,Co-Trimoxazole; Co-trimoxazole; co-trimoxazole; co-trimoxazole;; oral co-trimoxazole,intervention; otherName,inchikey:IEDVJHCEMCRBQM-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:E149J5OTIF,K1:Y7L24THH6T}",2,ISOMETHEPTENE MUCATE,1,(R)-isometheptene mucate,otherName,unii:8O120FDS6P; inchikey:DSLZVSRJTYRBFB-DUHBMQHGSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:EL9943AG5J,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N}",2,"Emtricitabine, Tenofovir Alafenamide",15,Emtricitabine 200mg/tenofovir alafenamide 25 mg (F/TAF); Emtricitabine and Tenofovir Alafenamide Fumarate Tablets; Emtricitabine/Tenofovir Alafenamide; Emtricitabine/Tenofovir Alafenamide 200 MG-25 MG Oral Tablet; Emtricitabine/Tenofovir alafenamide (FTC/TAF),intervention; otherName,unii:EL9943AG5J; inchikey:LDEKQSIMHVQZJK-CAQYMETFSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:J50OIX95QV,K1:TE0865N2ET}",2,METHENAMINE HIPPURATE,7,Hiprex; Methenamine Hippurate; Methenamine Hippurate 1 g tablet; Methenamine Hippurate 1000 MG; Methenamine hippurate,intervention,unii:M329791L57; inchikey:QIAFMBKCNZACKA-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:K848JZ4886,K1:TE7660XO1C}",2,Ferrous Cysteine Glycinate,2,EnBrace HR,intervention; otherName,unii:8B4OP7RK5N; inchikey:XUJNEKJLAYXESH-REOHCLBHSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:LW2E03M5PG,K1:YO603Y8113}",2,Darunavir and Cobicistat,6,Darunavir and Cobicistat; Prezcobix; Prezcobix®; darunavir and cobicistat,intervention; otherName,inchikey:ZCIGNRJZKPOIKD-CQXVEOKZSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:M7Y086VB5G,K1:UPN4ITI8T4}",1,TRIMETREXATE GLUCURONATE,17,Trimetrexate glucuronate; trimetrexate glucuronate,intervention,unii:L137U4A79K; inchikey:NOYPYLRCIDNJJB-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
"COMBO:{K1:O9S4K2S25E,K1:S2F83W92TK}",1,PROPOXYPHENE NAPSYLATE,1,Propoxyphene napsylate (XP20C),intervention,unii:38M219L1OJ; inchikey:XLMALTXPSGQGBX-GCJKJVERSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
