corpus_key,corpus_display_name,corpus_tier,corpus_unii,corpus_inchikey,inxight_record,normalised_name,inxight_unii,inxight_inchikey,ambiguous_pages_for_name,confirmation
K1:30CPC5LDEX,Sulfadimethoxine,1,30CPC5LDEX,ZZORFUFYDOWNEF-UHFFFAOYSA-N,frdb-compound:354:SULFADIMETHOXINE SODIUM,sulfadimethoxine,49DG2B481W,DQDZQHMCPDUUPC-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:H0C805XYDE,Mepacrine,1,H0C805XYDE,GPKJTRJOBQGKQK-UHFFFAOYSA-N,frdb-compound:474:QUINACRINE HYDROCHLORIDE,quinacrine,G6242H2NAA,RZFNKJVCPDLQQA-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:81F061RQS4,Carbazochrome,3,81F061RQS4,XSXCZNVKFKNLPR-SDQBBNPISA-N,frdb-compound:577:CARBAZOCHROME SALICYLATE,carbazochrome,3H4OD401LF,CELKBRMLNUNCIP-AXAVVADUSA-M,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K2:FBRAWBYQGRLCEK-RJFLZJKCSA-N,CLOBETASONE BUTYRATE,2,,FBRAWBYQGRLCEK-RJFLZJKCSA-N,frdb-compound:592:CLOBETASONE,clobetasone,LT69WY1J6D,XXIFVOHLGBURIG-OZCCCYNHSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:2KL01R8ZV1,Dimazole,1,2KL01R8ZV1,WGMYEOIMVYADRJ-UHFFFAOYSA-N,frdb-compound:600:DIAMTHAZOLE DIHYDROCHLORIDE,diamthazole,3LF09TBB5W,FZNXAQMQVKBXDR-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:4W5HDS3936,Melengestrol Acetate,2,4W5HDS3936,UDKABVSQKJNZBH-DWNQPYOZSA-N,frdb-compound:656:MELENGESTROL,melengestrol,BX98J4T6JU,OKHAOBQKCCIRLO-IBVJIVQJSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:3GJC60U4Q8,Sitafloxacin Anhydrous,3,3GJC60U4Q8,PNUZDKCDAWUEGK-CYZMBNFOSA-N,frdb-compound:723:SITAFLOXACIN,sitafloxacin,9TD681796G,MPORYQCGWFQFLA-ONPDANIMSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:SVS3GU8AY8,Rosin (CHEMICAL),2,SVS3GU8AY8,KHPCPRHQVVSZAH-GUNCLKARSA-N,frdb-compound:857:ROSIN,rosin,88S87KL877,,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:7DB37960CW,"Aconitic ACID, (E)-",3,7DB37960CW,GTZCVFVGUGFEME-HNQUOIGGSA-N,frdb-compound:868:ACONITIC ACID,aconiticacid,93371T1BXP,,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:A1O5EUP7KS,.ALPHA.-D-N-ACETYLMANNOSAMINE,3,A1O5EUP7KS,OVRNDRQMDRJTHS-UOLFYFMNSA-N,frdb-compound:893:N-ACETYLMANNOSAMINE,acetylmannosamine,FPD5WTK4TS,KVWIBLJBIFTKIZ-XNJRRJNCSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:X80PR7P73R,N-ACETYLMANNOSAMINE,3,X80PR7P73R,MBLBDJOUHNCFQT-WCTZXXKLSA-N,frdb-compound:893:N-ACETYLMANNOSAMINE,acetylmannosamine,FPD5WTK4TS,KVWIBLJBIFTKIZ-XNJRRJNCSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:FLQ7571NPM,Thiamphenicol,3,283383NO13,OTVAEFIXJLOWRX-NXEZZACHSA-N,frdb-compound:1016:THIAMPHENICOL AMINOACETATE,thiamphenicolaminoacetate,W5H94CY6V6,AMGKHLVPQHMHGQ-ZYHUDNBSSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K2:REACBNMPQDINOF-YBBIQVIJSA-N,Nandrolone,3,,REACBNMPQDINOF-YBBIQVIJSA-N,frdb-compound:1037:NANDROLONE CYCLOHEXYLPROPIONATE,nandrolonecyclohexylpropionate,K4NE48GG1Y,TXLCJMHILCSZJG-QNTYDACNSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:699121PHCA,Docetaxel Anhydrous,2,699121PHCA,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,frdb-compound:1086:DOCETAXEL,docetaxel,15H5577CQD,XCDIRYDKECHIPE-QHEQPUDQSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:X9N27M888C,2'-EPI Docetaxel,2,X9N27M888C,ZDZOTLJHXYCWBA-KWUUUEAUSA-N,frdb-compound:1086:DOCETAXEL,docetaxel,15H5577CQD,XCDIRYDKECHIPE-QHEQPUDQSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:8S95DH25XC,Levomefolic acid,1,8S95DH25XC,ZNOVTXRBGFNYRX-STQMWFEESA-N,frdb-compound:1088:LEVOMEFOLATE CALCIUM,levomefolate,A9R10K3F2F,VWBBRFHSPXRJQD-QNTKWALQSA-L,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:2K5E83H3LL,Sibutramine,1,2K5E83H3LL,UNAANXDKBXWMLN-MRXNPFEDSA-N,frdb-compound:1164:SIBUTRAMINE HYDROCHLORIDE,sibutramine,OGM0YHD1WF,KFNNPQDSPLWLCX-UHFFFAOYSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:WV5EC51866,Sibutramine,1,WV5EC51866,UNAANXDKBXWMLN-UHFFFAOYSA-N,frdb-compound:1164:SIBUTRAMINE HYDROCHLORIDE,sibutramine,OGM0YHD1WF,KFNNPQDSPLWLCX-UHFFFAOYSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:85061HTR8T,Clocortolone Acetate,3,85061HTR8T,ARPLCFGLEYFDCN-CDACMRRYSA-N,frdb-compound:1244:CLOCORTOLONE,clocortolone,N8ZUB7XE0H,YMTMADLUXIRMGX-RFPWEZLHSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:QBL8IZH14X,Clocortolone Pivalate,2,QBL8IZH14X,SXYZQZLHAIHKKY-GSTUPEFVSA-N,frdb-compound:1244:CLOCORTOLONE,clocortolone,N8ZUB7XE0H,YMTMADLUXIRMGX-RFPWEZLHSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:O9U0F09D5X,Droperidol,1,O9U0F09D5X,RMEDXOLNCUSCGS-UHFFFAOYSA-N,frdb-compound:1281:DROPERIDOL LACTATE,droperidol,09NO5N37E0,CUYSTLHETVVORS-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:I3T12NR296,Prednienic Acid,3,I3T12NR296,MCKJPJYRCPANCC-XLXYOEISSA-N,frdb-compound:1356:LOTEPREDNOL,loteprednol,Z8CBU6KR16,YPZVAYHNBBHPTO-MXRBDKCISA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:YEH1EZ96K6,Loteprednol Etabonate,1,YEH1EZ96K6,DMKSVUSAATWOCU-HROMYWEYSA-N,frdb-compound:1356:LOTEPREDNOL,loteprednol,Z8CBU6KR16,YPZVAYHNBBHPTO-MXRBDKCISA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:3ZZ5BJ9F2Q,Difenoxin,2,3ZZ5BJ9F2Q,UFIVBRCCIRTJTN-UHFFFAOYSA-N,frdb-compound:1527:DIFENOXIN HYDROCHLORIDE,difenoxin,VQZ63K01IW,VMIZTXDGZPTKIK-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:C8I4BVN78E,Glutethimide,1,C8I4BVN78E,JMBQKKAJIKAWKF-UHFFFAOYSA-N,frdb-compound:1600:GLUTETHIMIDE MONOHYDRATE,glutethimide,8C221G270E,UIIRXSRRFRGPPE-UHFFFAOYSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:IN5W64L102,Glutethimide,1,IN5W64L102,JMBQKKAJIKAWKF-ZDUSSCGKSA-N,frdb-compound:1600:GLUTETHIMIDE MONOHYDRATE,glutethimide,8C221G270E,UIIRXSRRFRGPPE-UHFFFAOYSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:UM2XKY25DH,"NORELGESTROMIN, (E)-",2,UM2XKY25DH,ISHXLNHNDMZNMC-VTKCIJPMSA-N,frdb-compound:1624:NORELGESTROMIN,norelgestromin,R0TAY3X631,,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:ULW86O013H,Oxiglutatione,1,ULW86O013H,YPZRWBKMTBYPTK-BJDJZHNGSA-N,frdb-compound:1628:OXIGLUTATIONE DISODIUM,oxiglutatione,GY131TX61G,DRFILBXQKYDTFW-JIWRMXRASA-L,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:6FG8041S5B,Omacetaxine mepesuccinate,1,6FG8041S5B,HYFHYPWGAURHIV-JFIAXGOJSA-N,frdb-compound:1676:OMACETAXINE,omacetaxine,84MI6OYN4Z,YMNCVRSYJBNGLD-KURKYZTESA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:R87US8P740,Levamfetamine,1,R87US8P740,KWTSXDURSIMDCE-MRVPVSSYSA-N,frdb-compound:1730:LEVAMFETAMINE SULFATE,levamfetamine,Q0108737R7,PYHRZPFZZDCOPH-GGTCEIRZSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:D86I0XLB13,Mitiglinide,3,D86I0XLB13,WPGGHFDDFPHPOB-BBWFWOEESA-N,frdb-compound:1818:MITIGLINIDE,mitiglinide,,,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:2DS058H2CF,Fenfluramine,1,2DS058H2CF,DBGIVFWFUFKIQN-UHFFFAOYSA-N,frdb-compound:1861:FENFLURAMINE HYDROCHLORIDE,fenfluramine,3KC089243P,ZXKXJHAOUFHNAS-UHFFFAOYSA-N,3,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:953A94Y45B,Levofenfluramine,3,953A94Y45B,DBGIVFWFUFKIQN-SECBINFHSA-N,frdb-compound:1861:FENFLURAMINE HYDROCHLORIDE,fenfluramine,3KC089243P,ZXKXJHAOUFHNAS-UHFFFAOYSA-N,3,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:E35R3G56OV,Dexfenfluramine,1,E35R3G56OV,DBGIVFWFUFKIQN-VIFPVBQESA-N,frdb-compound:1861:FENFLURAMINE HYDROCHLORIDE,fenfluramine,3KC089243P,ZXKXJHAOUFHNAS-UHFFFAOYSA-N,3,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:9IKM0I5T1E,Quercetin,1,9IKM0I5T1E,REFJWTPEDVJJIY-UHFFFAOYSA-N,frdb-compound:1924:QUERCETIN DIHYDRATE,quercetin,53B03V78A6,GMGIWEZSKCNYSW-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:W2X096QY97,Trimethobenzamide,2,W2X096QY97,FEZBIKUBAYAZIU-UHFFFAOYSA-N,frdb-compound:2003:TRIMETHOBENZAMIDE HYDROCHLORIDE,trimethobenzamide,WDQ5P1SX7Q,WIIZEEPFHXAUND-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K2:WDMFHQNUSVLQMS-XFYQWYMDSA-N,Bornelone,3,,WDMFHQNUSVLQMS-XFYQWYMDSA-N,frdb-compound:2047:BORNELONE,bornelone,LU86E5P72A,,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:S6I030E0DA,Pipradrol,2,S6I030E0DA,XSWHNYGMWWVAIE-UHFFFAOYSA-N,frdb-compound:2175:PIPRADROL HYDROCHLORIDE,pipradrol,F6E46VR9Y2,KIFIYUHFHGSNHL-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:0B50MLU3H1,Cefoselis,3,0B50MLU3H1,BHXLLRXDAYEMPP-SBGRAJFYSA-N,frdb-compound:2198:CEFOSELIS SULFATE,cefoselis,6EY42207VS,LZOLCSVRFKCSEM-ZQCAECPKSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:01ZG3TPX31,Bupropion,2,ZG7E5POY8O,SNPPWIUOZRMYNY-UHFFFAOYSA-N,frdb-compound:2234:BUPROPION MALEATE,bupropion,26NV8NXO4A,NJJFBMJGOYCQCX-BTJKTKAUSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:33RU150WUN,PHENYLPROPANOLAMINE POLISTIREX,1,33RU150WUN,,frdb-compound:2239:PHENYLPROPANOLAMINE BITARTRATE,phenylpropanolamine,B48FTC099P,NCHHVLCKEUNWNJ-IOJVUJSNSA-N,4,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:57B9YG5Y1E,"PHENYLPROPANOLAMINE, (-)-",1,33RU150WUN,DLNKOYKMWOXYQA-CBAPKCEASA-N,frdb-compound:2239:PHENYLPROPANOLAMINE BITARTRATE,phenylpropanolamine,B48FTC099P,NCHHVLCKEUNWNJ-IOJVUJSNSA-N,4,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:7875H6443P,Phenylpropanolamine,1,7875H6443P,DLNKOYKMWOXYQA-VXNVDRBHSA-N,frdb-compound:2239:PHENYLPROPANOLAMINE BITARTRATE,phenylpropanolamine,B48FTC099P,NCHHVLCKEUNWNJ-IOJVUJSNSA-N,4,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K2:DLNKOYKMWOXYQA-UHFFFAOYSA-N,Phenylpropanolamine,1,,DLNKOYKMWOXYQA-UHFFFAOYSA-N,frdb-compound:2239:PHENYLPROPANOLAMINE BITARTRATE,phenylpropanolamine,B48FTC099P,NCHHVLCKEUNWNJ-IOJVUJSNSA-N,4,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:34P96M7C4K,Chloroquine,2,34P96M7C4K,WHTVZRBIWZFKQO-AWEZNQCLSA-N,frdb-compound:2274:CHLOROQUINE SULFATE,chloroquine,OE48649K6N,OJPWHUOVKVKBQB-UHFFFAOYSA-N,3,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:4QWG6N8QKH,Hydroxychloroquine,1,8Q2869CNVH,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,frdb-compound:2274:CHLOROQUINE SULFATE,chloroquine,OE48649K6N,OJPWHUOVKVKBQB-UHFFFAOYSA-N,3,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:886U3H6UFF,Chloroquine,2,NT0J0815S5,WHTVZRBIWZFKQO-UHFFFAOYSA-N,frdb-compound:2274:CHLOROQUINE SULFATE,chloroquine,OE48649K6N,OJPWHUOVKVKBQB-UHFFFAOYSA-N,3,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:I4744080IR,Pentobarbital,1,I4744080IR,WEXRUCMBJFQVBZ-UHFFFAOYSA-N,frdb-compound:2304:PENTOBARBITAL CALCIUM,pentobarbital,66V4W08X7J,VBJLHIJEIVBIHF-UHFFFAOYSA-L,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:U7D0E1VOAM,"PENTOBARBITAL, (S)-",1,U7D0E1VOAM,WEXRUCMBJFQVBZ-ZETCQYMHSA-N,frdb-compound:2304:PENTOBARBITAL CALCIUM,pentobarbital,66V4W08X7J,VBJLHIJEIVBIHF-UHFFFAOYSA-L,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:4KV4X8IF6V,Dicycloverine,1,4KV4X8IF6V,CURUTKGFNZGFSE-UHFFFAOYSA-N,frdb-compound:2320:DICYCLOMINE HYDROCHLORIDE,dicyclomine,CQ903KQA31,GUBNMFJOJGDCEL-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:13Z9HTH115,Alosetron,2,13Z9HTH115,JSWZEAMFRNKZNL-UHFFFAOYSA-N,frdb-compound:2358:ALOSETRON HYDROCHLORIDE,alosetron,2F5R1A46YW,FNYQZOVOVDSGJH-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:864P0921DW,Bromfenac,1,864P0921DW,ZBPLOVFIXSTCRZ-UHFFFAOYSA-N,frdb-compound:2370:BROMFENAC SODIUM,bromfenac,8ECV571Y37,PPOSVVJOVKVBPW-UHFFFAOYSA-L,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:40R0UN508P,"CARBINOXAMINE, (R)-",1,40R0UN508P,OJFSXZCBGQGRNV-MRXNPFEDSA-N,frdb-compound:2372:CARBINOXAMINE FUMARATE,carbinoxamine,1E9GVB07FW,GVNWHCVWDRNXAZ-WLHGVMLRSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:982A7M02H5,Carbinoxamine,1,02O55696WH,OJFSXZCBGQGRNV-UHFFFAOYSA-N,frdb-compound:2372:CARBINOXAMINE FUMARATE,carbinoxamine,1E9GVB07FW,GVNWHCVWDRNXAZ-WLHGVMLRSA-N,2,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
HOLD:existing:cisapride,Cisapride,1,UVL329170W,DCSUBABJRXZOMT-UHFFFAOYSA-N,frdb-compound:2387:CISAPRIDE MONOHYDRATE,cisapride,VZV0A4I38W,QBYYXIDJOFZORM-LBPAWUGGSA-N;QBYYXIDJOFZORM-IKGOIYPNSA-N,3,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:UVL329170W,Cisapride,2,UVL329170W,DCSUBABJRXZOMT-IRLDBZIGSA-N,frdb-compound:2387:CISAPRIDE MONOHYDRATE,cisapride,VZV0A4I38W,QBYYXIDJOFZORM-LBPAWUGGSA-N;QBYYXIDJOFZORM-IKGOIYPNSA-N,3,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,Cisapride,1,,DCSUBABJRXZOMT-UHFFFAOYSA-N,frdb-compound:2387:CISAPRIDE MONOHYDRATE,cisapride,VZV0A4I38W,QBYYXIDJOFZORM-LBPAWUGGSA-N;QBYYXIDJOFZORM-IKGOIYPNSA-N,3,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:27DXO59SAN,Tocainide,2,27DXO59SAN,BUJAGSGYPOAWEI-UHFFFAOYSA-N,frdb-compound:2504:TOCAINIDE HYDROCHLORIDE,tocainide,2K7I38CKN5,AMZACPWEJDQXGW-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:9MV14S8G3E,Pargyline,1,9MV14S8G3E,DPWPWRLQFGFJFI-UHFFFAOYSA-N,frdb-compound:2570:PARGYLINE HYDROCHLORIDE,pargyline,W70V6I2OMY,BCXCABRDBBWWGY-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:1ZPG1ELY14,Rose Bengal Potassium,2,1ZPG1ELY14,VDNLFJGJEQUWRB-UHFFFAOYSA-N,frdb-compound:2602:ROSE BENGAL SODIUM,rosebengal,956575SN5L,UWBXIFCTIZXXLS-UHFFFAOYSA-L,4,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:72HML2UK6J,Itruvone,3,72HML2UK6J,CHOUAXDNNAVGHR-NWSAAYAGSA-N,frdb-compound:2602:ROSE BENGAL SODIUM,rosebengal,956575SN5L,UWBXIFCTIZXXLS-UHFFFAOYSA-L,4,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:BIU7Q7W2SH,Rose Bengal Lactone,2,BIU7Q7W2SH,IICCLYANAQEHCI-UHFFFAOYSA-N,frdb-compound:2602:ROSE BENGAL SODIUM,rosebengal,956575SN5L,UWBXIFCTIZXXLS-UHFFFAOYSA-L,4,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:S3FKL8RY1D,.ALPHA.-PYRROLIDINONONANOPHENONE,3,S3FKL8RY1D,RYJXAZXFWIWTOJ-UHFFFAOYSA-N,frdb-compound:2602:ROSE BENGAL SODIUM,rosebengal,956575SN5L,UWBXIFCTIZXXLS-UHFFFAOYSA-L,4,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:D892HFI3XA,Iproniazid,2,D892HFI3XA,NYMGNSNKLVNMIA-UHFFFAOYSA-N,frdb-compound:3334:IPRONIAZID PHOSPHATE,iproniazid,8DE00V62TV,YPDVTKJXVHYWFY-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K2:CWRBDUIQDIHWJZ-SOFGYWHQSA-N,Bunamiodyl,1,,CWRBDUIQDIHWJZ-SOFGYWHQSA-N,frdb-compound:4009:BUNAMIODYL SODIUM,bunamiodyl,NTI7T2IEIE,JNUQEHHAXSHUMD-UHFFFAOYSA-M,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:A6F645Q9HQ,Methopromazine,3,A6F645Q9HQ,BRABPYPSZVCCLR-UHFFFAOYSA-N,frdb-compound:5358:METHOXYPROMAZINE MALEATE,methoxypromazine,OR0RPY2Y2V,ZWLMLVIUWRUDBD-BTJKTKAUSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:27B90X776A,Mibefradil,1,27B90X776A,HBNPJJILLOYFJU-VMPREFPWSA-N,frdb-compound:6859:MIBEFRADIL DIHYDROCHLORIDE,mibefradil,842TUP3PQ8,MTJLQTFHJIHXIX-GDUXWEAWSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:1WZ12GTT67,Temafloxacin,1,1WZ12GTT67,QKDHBVNJCZBTMR-UHFFFAOYSA-N,frdb-compound:6892:TEMAFLOXACIN HYDROCHLORIDE,temafloxacin,OC5IGJ7J6I,DDVJEYDLTXRYAJ-UHFFFAOYSA-N,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:822G987U9J,Zomepirac,1,822G987U9J,ZXVNMYWKKDOREA-UHFFFAOYSA-N,frdb-compound:6907:ZOMEPIRAC SODIUM,zomepirac,Y0185WZ209,ZJXLSCXDGPDZOL-UHFFFAOYSA-M,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
K1:7A314HQM0I,Pentetic Acid,2,1XRC28738T,QPCDCPDFJACHGM-UHFFFAOYSA-N,frdb-compound:7505:PENTETATE CALCIUM TRISODIUM,pentetate,G79YN26H5B,AYFCVLSUPGCQKD-UHFFFAOYSA-I,1,none - corpus page and Inxight record share no UNII and no InChIKey; needs a human decision
