key,printed_name,reason,evidence
K2:QXCXMVYVUHVFLP-UHFFFAOYSA-N,28,bare abbreviation,the printed name is 2 capital characters and the record holds no title-case common or INN synonym for it
K2:RHFIAUKMKYHHFA-UHFFFAOYSA-N,50D,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:RTFQFPZKDYMMMJ-RIAKQDHQSA-N,DAT8,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:RZXMIHOUHYSGJO-UHFFFAOYSA-N,2OL,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:SQNZDYHMCMIGGV-TZPPCSJFSA-N,AT-1,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:VIQXILLOJLATEF-UHFFFAOYSA-N,AEV,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:WGJCHHJGGFCCRS-DEYDLUNASA-N,CM11,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:XFYUTGIEFKGWND-NRFANRHFSA-N,2W6,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:XMNLWOQHMQRHDV-UHFFFAOYSA-N,86,bare abbreviation,the printed name is 2 capital characters and the record holds no title-case common or INN synonym for it
K2:XSMABFRQESMONQ-SFHVURJKSA-N,9DJ,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:YDPMMWAOCCOULO-JBRSBNLGSA-N,6XX,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K2:ZJJZBBBSQKVNHL-BYBNZYMESA-N,IR-2,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K2:ZKXZLIFRWWKZRY-KRWDZBQOSA-N,3XV,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL2109267,M195,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL2109352,BL22,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL2109421,4B5,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL2109443,F105,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL2109481,ICM3,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL2109483,SC-1,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL2109495,E2.3,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL2109523,M170,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL2109588,CA2,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL3545093,ZYH7,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL4301788,RM-2,bare abbreviation,the printed name is 4 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL4525123,HMA,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL4526634,1,bare abbreviation,the printed name is 1 capital characters and the record holds no title-case common or INN synonym for it
K3:CHEMBL4526635,2,bare abbreviation,the printed name is 1 capital characters and the record holds no title-case common or INN synonym for it
K4:rna,RNA,bare abbreviation,the printed name is 3 capital characters and the record holds no title-case common or INN synonym for it
COMBO:NAME:astragalus exscapus flowering fruiting,Astragalus Exscapus Whole Flowering/Fruiting,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:bordetella pertussis fimbriae 2 3 antigen,Bordetella Pertussis Fimbriae 2/3 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:cairina moschata heart liver autolysate,Cairina Moschata Heart/Liver Autolysate,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:comocladia dentata bark leaf,Comocladia Dentata Bark/Leaf,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:euonymus atropurpureus branch bark root bark,Euonymus Atropurpureus Branch Bark/Root Bark,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:grindelia camporum flower leaf,Grindelia Camporum Flower/Leaf,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:hamamelis virginiana root bark stem bark,Hamamelis Virginiana Root Bark/Stem Bark,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:human botulinum neurotoxin a b immune globulin,Human Botulinum Neurotoxin A/B Immune Globulin,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a croatia 10136rv 2023 x 425a antigen,Influenza A Virus A/Croatia/10136rv/2023 X-425a Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a darwin 6 2021,Influenza A Virus A/Darwin/6/2021 Whole,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a darwin 9 2021 ivr 228 antigen,Influenza A Virus A/Darwin/9/2021 Ivr-228 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a darwin 9 2021 ivr 228 hemagglutinin antigen,Influenza A Virus A/Darwin/9/2021 Ivr-228 Hemagglutinin Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a guangdong maonan swl1536 2019 cnic 1909 antigen,Influenza A Virus A/Guangdong-Maonan/Swl1536/2019 Cnic-1909 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a hong kong 2671 2019 ivr 208 antigen,Influenza A Virus A/Hong Kong/2671/2019 Ivr-208 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a michigan 105 2025 san 049a antigen,Influenza A Virus A/Michigan/105/2025 San-049a Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a north carolina 04 2016,Influenza A Virus A/North Carolina/04/2016 Whole,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a singapore gp1908 2015 ivr 180,Influenza A Virus A/Singapore/Gp1908/2015 Ivr-180 Whole,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a singapore gp20238 2024 ivr 277 antigen,Influenza A Virus A/Singapore/Gp20238/2024 Ivr-277 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a switzerland 6849 2025 ivr 278 antigen,Influenza A Virus A/Switzerland/6849/2025 Ivr-278 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a tasmania 503 2020 ivr 221 antigen,Influenza A Virus A/Tasmania/503/2020 Ivr-221 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a thailand 8 2022 ivr 237 antigen,Influenza A Virus A/Thailand/8/2022 Ivr-237 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a thailand 8 2022 ivr 237 hemagglutinin antigen,Influenza A Virus A/Thailand/8/2022 Ivr-237 Hemagglutinin Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a victoria 2454 2019 ivr 207 antigen,Influenza A Virus A/Victoria/2454/2019 Ivr-207 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a victoria 2570 2019 ivr 215 antigen,Influenza A Virus A/Victoria/2570/2019 Ivr-215 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a victoria 2570 2019 ivr 215 hemagglutinin antigen,Influenza A Virus A/Victoria/2570/2019 Ivr-215 Hemagglutinin Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza a virus a victoria 4897 2022 ivr 238 antigen,Influenza A Virus A/Victoria/4897/2022 Ivr-238 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b austria 1359417 2021 bvr 26,Influenza B Virus B/Austria/1359417/2021 Bvr-26 Whole,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b austria 1359417 2021 bvr 26 antigen,Influenza B Virus B/Austria/1359417/2021 Bvr-26 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b iowa 06 2017,Influenza B Virus B/Iowa/06/2017 Whole,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b michigan 01 2021 antigen,Influenza B Virus B/Michigan/01/2021 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b michigan 01 2021 hemagglutinin antigen,Influenza B Virus B/Michigan/01/2021 Hemagglutinin Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b phuket 3073 2013 antigen,Influenza B Virus B/Phuket/3073/2013 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b phuket 3073 2013 bvr 1b,Influenza B Virus B/Phuket/3073/2013 Bvr-1b Whole,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b phuket 3073 2013 hemagglutinin antigen,Influenza B Virus B/Phuket/3073/2013 Hemagglutinin Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b singapore inftt 16 0610 2016,Influenza B Virus B/Singapore/Inftt-16-0610/2016 Whole,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b tokyo eis13 175 2025 antigen,Influenza B Virus B/Tokyo/Eis13-175/2025 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:influenza b virus b washington 02 2019 antigen,Influenza B Virus B/Washington/02/2019 Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:juglans cinerea branch bark root bark,Juglans Cinerea Branch Bark/Root Bark,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:rhamphospermum arvense flowering fruiting top,COMBO:NAME:rhamphospermum arvense flowering fruiting top,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:rubella virus strain wistar ra 27 3 live antigen,Rubella Virus Strain Wistar Ra 27/3 Live Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:scrophularia nodosa leaf with stem,Scrophularia Nodosa Leaf with Stem,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:sinapis arvensis flowering fruiting top,Sinapis Arvensis Flowering/Fruiting Top,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:valeriana officinalis rhizome root,Valeriana Officinalis Rhizome/Root,"material, not a medicine",GSRS substance class structurallyDiverse
COMBO:NAME:varicella zoster virus strain oka merck live antigen,Varicella-Zoster Virus Strain Oka/Merck Live Antigen,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0005633KTU,Symphyotrichum Oblongifolium Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0008D0X3XI,Plantago Australis Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0022LFJ74Y,Taraxacum Officinale Leaf,"material, not a medicine",GSRS substance class structurallyDiverse
K1:003ABL14YC,Blue Tilapia Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:00543AP1JV,Delphinium Staphisagria Seed,"material, not a medicine",GSRS substance class structurallyDiverse
K1:005ICF6L27,Lycopodium Clavatum Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:006H22D6PZ,Ambrosia Tenuifolia Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:00AOG6IRLE,Hedychium Flavescens Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:00CR8124AS,English Sole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:00GG7UT6PL,"Chicken Skin, Cooked","material, not a medicine",GSRS substance class structurallyDiverse
K1:00IF91KFKQ,Crocus Sativus Flower,"material, not a medicine",GSRS substance class structurallyDiverse
K1:00T5SH6SEJ,Bai Ji,"material, not a medicine",GSRS substance class structurallyDiverse
K1:00UK7646FG,Capsicum,"material, not a medicine",GSRS substance class structurallyDiverse
K1:012RCE5TWE,Salix Lutea Pollen,"material, not a medicine",GSRS substance class structurallyDiverse
K1:01756N87N8,Wormwood Oil,"material, not a medicine",GSRS substance class structurallyDiverse
K1:01800C6E6B,Dieffenbachia Seguine,"material, not a medicine",GSRS substance class structurallyDiverse
K1:01B3X858LI,Acer Pensylvanicum Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:01G73H6H83,Hops,"material, not a medicine",GSRS substance class structurallyDiverse
K1:01G9XEA93N,Claviceps Purpurea Sclerotium,"material, not a medicine",GSRS substance class structurallyDiverse
K1:01WNS05SFO,Oryctolagus Cuniculus Spleen,"material, not a medicine",GSRS substance class structurallyDiverse
K1:022461SR75,Azficel t,"material, not a medicine",GSRS substance class structurallyDiverse
K1:023XWA119J,Eschscholzia Californica Flowering Top,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0243Q4990L,Solanum Lycopersicum,"material, not a medicine",GSRS substance class structurallyDiverse
K1:024W88F557,Fraxinus Latifolia Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:025JEQ4O6S,Hippeastrum Puniceum Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0269TQ4H2N,Magnolia X Alba Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0296055VE0,Clostridium Botulinum,"material, not a medicine",GSRS substance class structurallyDiverse
K1:02AI5I027Q,Townsendia Exscapa Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:02I3VKA20E,Anacardium Occidentale Bark,"material, not a medicine",GSRS substance class structurallyDiverse
K1:02I89C6K47,Cynanchum Otophyllum Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:02RVY6X9EC,Quercus Kelloggii Pollen,"material, not a medicine",GSRS substance class structurallyDiverse
K1:02VJ3CEY9G,Codonopsis Pilosula Root,"material, not a medicine",GSRS substance class structurallyDiverse
K1:02WM57RXZJ,Black Walnut,"material, not a medicine",GSRS substance class structurallyDiverse
K1:030FN29S9H,Petroselinum Crispum Root,"material, not a medicine",GSRS substance class structurallyDiverse
K1:030R993R8E,Ulmus Pumila Pollen,"material, not a medicine",GSRS substance class structurallyDiverse
K1:039G4OZ3G2,Loxosceles Reclusa,"material, not a medicine",GSRS substance class structurallyDiverse
K1:03T08D1SW6,Astragalus Americanus Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:03T60V100Y,Sus Scrofa Rectal Mucosa,"material, not a medicine",GSRS substance class structurallyDiverse
K1:03Z3I85RNE,Bos Taurus Spinal Cord,"material, not a medicine",GSRS substance class structurallyDiverse
K1:042SUA2DS9,Pinus Ponderosa Pollen,"material, not a medicine",GSRS substance class structurallyDiverse
K1:046PB542M7,Ephedra Nevadensis Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:046Y1357I6,Lamium Album,"material, not a medicine",GSRS substance class structurallyDiverse
K1:04W636S1V3,Malus Domestica Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:04W97Z676Y,Bassia Scoparia Fruit,"material, not a medicine",GSRS substance class structurallyDiverse
K1:050QZ2EDK7,Sus Scrofa Pineal Gland,"material, not a medicine",GSRS substance class structurallyDiverse
K1:053IJC048X,Aloe Spicata Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:055456JHI7,Citrus Aurantium Fruit Rind,"material, not a medicine",GSRS substance class structurallyDiverse
K1:05KB30NGW2,Alcaligenes Faecalis,"material, not a medicine",GSRS substance class structurallyDiverse
K1:05P93760L4,Primula Hendersonii Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:05S7L91ZTR,Canis Lupus Familiaris Hair,"material, not a medicine",GSRS substance class structurallyDiverse
K1:05T3M06HCM,Pteridium Aquilinum Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0601Z4Z0LU,Liriodendron Tulipifera Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:063VBA799E,Human Papillomavirus Serotype 16 Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:065C5D077J,Sage,"material, not a medicine",GSRS substance class structurallyDiverse
K1:06JI9W529S,Hops Oil,"material, not a medicine",GSRS substance class structurallyDiverse
K1:06JMS448M5,Cymbopogon Citratus Leaf,"material, not a medicine",GSRS substance class structurallyDiverse
K1:06M320D5U9,Asimina Triloba Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:06ZPE0373L,Prosopis Cineraria Wood,"material, not a medicine",GSRS substance class structurallyDiverse
K1:072D7X60WS,Panicum Miliaceum Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:074P18919S,Sargassum Pallidum,"material, not a medicine",GSRS substance class structurallyDiverse
K1:079XQO23D9,Lilium Lancifolium Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:07A108ZKW5,Bassia Scoparia Pollen,"material, not a medicine",GSRS substance class structurallyDiverse
K1:07L86FJ69J,Amaranthus Hybridus Leaf,"material, not a medicine",GSRS substance class structurallyDiverse
K1:07V4DX094T,Elder Flower,"material, not a medicine",GSRS substance class structurallyDiverse
K1:07YL55QKZ9,Carpinus Betulus Flower,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0823G3NGQP,Melaleuca Viridiflora Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:086263LQDD,Biancaea Sappan Wood,"material, not a medicine",GSRS substance class structurallyDiverse
K1:08A7Y81S1P,Hieracium Pilosella Flowering Top,"material, not a medicine",GSRS substance class structurallyDiverse
K1:08F85I5YAV,Gastrodia,"material, not a medicine",GSRS substance class structurallyDiverse
K1:08T3N29QJB,Atractylodes Macrocephala Root,"material, not a medicine",GSRS substance class structurallyDiverse
K1:08X0K2M57P,Bos Taurus Bone Marrow,"material, not a medicine",GSRS substance class structurallyDiverse
K1:090CTY533N,Chicory,"material, not a medicine",GSRS substance class structurallyDiverse
K1:092IJ99835,Staphylococcus Haemolyticus,"material, not a medicine",GSRS substance class structurallyDiverse
K1:097FL89535,Colchicum Autumnale Flower,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0980L90RNP,Human Respiratory Syncytial Virus,"material, not a medicine",GSRS substance class structurallyDiverse
K1:098LKX5NCN,Chenopodium Album Pollen,"material, not a medicine",GSRS substance class structurallyDiverse
K1:09N62XQ70Y,Oryctolagus Cuniculus Hair,"material, not a medicine",GSRS substance class structurallyDiverse
K1:09PA36CT5R,Klebsiella Pneumoniae,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0A04Z76C13,Bos Taurus Intervertebral Disc,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0B24UR1O1S,Fraxinus Americana Bark,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0B27814T7X,Cinnamomum Camphora Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0BKP293XE9,Salsola Kali Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0C28EK6VVG,Narcissus Poeticus Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0C5WAA83X5,Amaranthus Cruentus Seed,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0D145J8EME,Aloe Ferox Leaf,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0D65UF0V4W,Wahoo,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0DAF87OMMD,Eleutherococcus Senticosus Root Oil,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0DE9724IHC,Protamine sulfate,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0E250104F5,Kalimeris Indica Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0E49E3V9U6,Citrullus Colocynthis Fruit,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0E5AT8T16U,Oregano,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0E7SS2999Y,Lachnanthes Caroliniana,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0FEX06A7KX,Elaeis Oleifera Kernel Oil,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0FF8N9C1NY,Chard,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0FIE1UZN3V,Alnus Rhombifolia Bark,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0FMD6WV47M,Solanum Nigrum Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0G750PYD4W,Sus Scrofa Adrenal Cortex,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0G82TT8ZFY,Juniperus Scopulorum Pollen,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0H1V4V5V9L,Juniperus Californica Pollen,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0HK2GZK66E,Croton Tiglium Seed,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0HNC1J1YED,Citrus Limon Fruit Oil,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0I353W9H7M,Paeonia X Suffruticosa Seed,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0I77C68AWS,Eastern Oyster,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0IQW001KPE,Hyssopus Officinalis Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0J0X819B3C,Mucor Circinelloides F. Lusitanicus,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0J28O82L6I,Lonicera Canadensis Whole,"material, not a medicine",GSRS substance class structurallyDiverse
K1:0J8NV9V5Q8,Borrelia Burgdorferi,"material, not a medicine",GSRS substance class structurallyDiverse
