form,reason,interaction_pages
dpp4 inhibitors,ambiguous: 2 pages carry this name and they are not forms of one substance,3
gonadotropins,"names a class or a group, not this page's substance (no variant of 'follitropin' and no UNII name for it)",3
pegasys,ambiguous: 3 pages carry this name and they are not forms of one substance,3
progestin only pills,"names a class or a group, not this page's substance (no variant of 'progesterone' and no UNII name for it)",3
adenovirus,"names a class or a group, not this page's substance (no variant of 'tasadenoturev' and no UNII name for it)",2
aldosterone antagonists,"names a class or a group, not this page's substance (no variant of 'spironolactone' and no UNII name for it)",2
alpha interferons,"names a class or a group, not this page's substance (no variant of 'interferon alfa n3' and no UNII name for it)",2
aromatase inhibitors,ambiguous: 3 pages carry this name and they are not forms of one substance,2
biguanides,"names a class or a group, not this page's substance (no variant of 'metformin c4h11n5' and no UNII name for it)",2
carbidopa tablets,"names a class or a group, not this page's substance (no variant of 'carbidopa anhydrous' and no UNII name for it)",2
cdk 4 6 inhibitors,"names a class or a group, not this page's substance (no variant of 'ribociclib' and no UNII name for it)",2
estradiol norethindrone acetate tablets,"names a class or a group, not this page's substance (no variant of 'norethindrone acetate c22h28o3' and no UNII name for it)",2
immune checkpoint inhibitors,ambiguous: 2 pages carry this name and they are not forms of one substance,2
lubricant eye drops,"names a class or a group, not this page's substance (no variant of 'hypromellose' and no UNII name for it)",2
mineralocorticoid receptor antagonists,ambiguous: 2 pages carry this name and they are not forms of one substance,2
p2y12 inhibitors,"names a class or a group, not this page's substance (no variant of 'clopidogrel' and no UNII name for it)",2
phosphodiesterase type 5 inhibitors,"names a class or a group, not this page's substance (no variant of 'sildenafil' and no UNII name for it)",2
potassium phosphates,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",2
somatostatin analogues,"names a class or a group, not this page's substance (no variant of 'lanreotide' and no UNII name for it)",2
volatile anesthetics,"names a class or a group, not this page's substance (no variant of 'sevoflurane' and no UNII name for it)",2
abiraterone acetate tablets,"names a class or a group, not this page's substance (no variant of 'abiraterone acetate c26h33no2' and no UNII name for it)",1
aceis,"names a class or a group, not this page's substance (no variant of 'captopril' and no UNII name for it)",1
acetylcholinesterase inhibitors,"names a class or a group, not this page's substance (no variant of 'donepezil' and no UNII name for it)",1
adrenals,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",1
advair diskus,ambiguous: 2 pages carry this name and they are not forms of one substance,1
alendronate sodium tablets,"names a class or a group, not this page's substance (no variant of 'alendronic acid' and no UNII name for it)",1
azithromycin tablets,"names a class or a group, not this page's substance (no variant of 'azithromycin anhydrous' and no UNII name for it)",1
camzyos,"names a class or a group, not this page's substance (no variant of 'mavacamten' and no UNII name for it)",1
entecavir tablets,"names a class or a group, not this page's substance (no variant of 'entecavir anhydrous' and no UNII name for it)",1
envarsus,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",1
extended release tacrolimus,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",1
flovent diskus,"names a class or a group, not this page's substance (no variant of 'fluticasone propionate progesterone receptor' and no UNII name for it)",1
gliadel wafers,"names a class or a group, not this page's substance (no variant of 'carmustine' and no UNII name for it)",1
immediate release tacrolimus,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",1
lhrh agonists,"names a class or a group, not this page's substance (no variant of 'goserelin' and no UNII name for it)",1
lumakras,"names a class or a group, not this page's substance (no variant of 'sotorasib' and no UNII name for it)",1
ongentys,"names a class or a group, not this page's substance (no variant of 'opicapone' and no UNII name for it)",1
oral vitamin k antagonists,"names a class or a group, not this page's substance (no variant of 'warfarin' and no UNII name for it)",1
phospholipids,"names a class or a group, not this page's substance (no variant of 'omega 3 fatty acids' and no UNII name for it)",1
potassium as,ambiguous: 3 pages carry this name and they are not forms of one substance,1
prograf capsules,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",1
serms,"names a class or a group, not this page's substance (no variant of 'tamoxifen' and no UNII name for it)",1
skyclarys,"names a class or a group, not this page's substance (no variant of 'omaveloxolone' and no UNII name for it)",1
standard dose tacrolimus,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",1
study drugs,ambiguous: 2 pages carry this name and they are not forms of one substance,1
tavneos,"names a class or a group, not this page's substance (no variant of 'avacopan' and no UNII name for it)",1
taxanes,"names a class or a group, not this page's substance (no variant of 'docetaxel anhydrous' and no UNII name for it)",1
1 6 gps,"names a class or a group, not this page's substance (no variant of 'isomalt' and no UNII name for it)",0
3 fatty acids,"names a class or a group, not this page's substance (no variant of 'omega 3 fatty acids' and no UNII name for it)",0
3bnc117 ls,"names a class or a group, not this page's substance (no variant of 'teropavimab' and no UNII name for it)",0
4 hydroxycoumarins,"names a class or a group, not this page's substance (no variant of '4 hydroxycoumarin' and no UNII name for it)",0
5 aminosalicylates,"names a class or a group, not this page's substance (no variant of 'mesalazine' and no UNII name for it)",0
5 fu bolus,"names a class or a group, not this page's substance (no variant of 'fluorouracil' and no UNII name for it)",0
5 mg 500 mg metaglip tablets,"names a class or a group, not this page's substance (no variant of 'glipizide' and no UNII name for it)",0
50000000 pa s,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
5fu bolus,"names a class or a group, not this page's substance (no variant of 'fluorouracil' and no UNII name for it)",0
80 mg atorvastatin calcium tablets,"names a class or a group, not this page's substance (no variant of 'atorvastatin' and no UNII name for it)",0
80 mg lipitor tablets,"names a class or a group, not this page's substance (no variant of 'atorvastatin' and no UNII name for it)",0
abacaviri sulfas,"names a class or a group, not this page's substance (no variant of 'abacavir' and no UNII name for it)",0
abbott 45975 anhydrous,"names a class or a group, not this page's substance (no variant of 'terazosin' and no UNII name for it)",0
abrus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
absk 021 0 free base anhydrous,"names a class or a group, not this page's substance (no variant of 'pimicotinib' and no UNII name for it)",0
absk 021 free base anhydrous,"names a class or a group, not this page's substance (no variant of 'pimicotinib' and no UNII name for it)",0
absk021 free base anhydrous,"names a class or a group, not this page's substance (no variant of 'pimicotinib' and no UNII name for it)",0
acalas,"names a class or a group, not this page's substance (no variant of 'pranidipine' and no UNII name for it)",0
acarbose usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
accupril 40 mg tablets,"names a class or a group, not this page's substance (no variant of 'quinapril' and no UNII name for it)",0
achyranthes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
acid concentrate for hemodialysis,"names a class or a group, not this page's substance (no variant of 'potassium chlorate' and no UNII name for it)",0
acidum amidotrizoicum anhydrous,"names a class or a group, not this page's substance (no variant of 'diatrizoic acid' and no UNII name for it)",0
aconitum napellus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
actimis,"names a class or a group, not this page's substance (no variant of 'bi 671800' and no UNII name for it)",0
active ingredient in hot chili peppers,"names a class or a group, not this page's substance (no variant of 'capsaicin' and no UNII name for it)",0
actos tablets,"names a class or a group, not this page's substance (no variant of 'pioglitazone' and no UNII name for it)",0
adrenal cortex drops,"names a class or a group, not this page's substance (no variant of 'sus scrofa adrenal gland' and no UNII name for it)",0
adrenal medulla drops,"names a class or a group, not this page's substance (no variant of 'sus scrofa adrenal gland' and no UNII name for it)",0
adrenocorticotrophin hpus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
adriablastina cs,"names a class or a group, not this page's substance (no variant of 'doxorubicin' and no UNII name for it)",0
advil cold and sinus caplets,"names a class or a group, not this page's substance (no variant of 'pseudoephedrine' and no UNII name for it)",0
aesculus hippocastanum 6x hpus,"names a class or a group, not this page's substance (no variant of 'horse chestnut' and no UNII name for it)",0
agaricus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
agnps,"names a class or a group, not this page's substance (no variant of 'silver cation' and no UNII name for it)",0
agnusides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
ahr 2277 as,"names a class or a group, not this page's substance (no variant of 'lenperone' and no UNII name for it)",0
alcohol benzylicus,"names a class or a group, not this page's substance (no variant of 'benzyl alcohol' and no UNII name for it)",0
alcohol cetylicus,"names a class or a group, not this page's substance (no variant of 'cetyl alcohol' and no UNII name for it)",0
alcohol cetylstearylicus,"names a class or a group, not this page's substance (no variant of 'stearyl alcohol' and no UNII name for it)",0
aldos,"names a class or a group, not this page's substance (no variant of 'fidarestat' and no UNII name for it)",0
aleve cold and sinus,"names a class or a group, not this page's substance (no variant of 'naproxen' and no UNII name for it)",0
algas calcareas,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
alkylglycerols,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
allegra 180 mg tablets,"names a class or a group, not this page's substance (no variant of 'fexofenadine' and no UNII name for it)",0
almasilate anhydrous,"names a class or a group, not this page's substance (no variant of 'magnesium aluminum silicate' and no UNII name for it)",0
alpha acids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
alpha glycans,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
alpha tocopherols,ambiguous: 2 pages carry this name and they are not forms of one substance,0
alpress,"names a class or a group, not this page's substance (no variant of 'prazosin' and no UNII name for it)",0
altris,"names a class or a group, not this page's substance (no variant of 'dihydroxyaluminum gluconate' and no UNII name for it)",0
aluminii magnesii silicas,"names a class or a group, not this page's substance (no variant of 'magnesium aluminum silicate' and no UNII name for it)",0
aluminii sulfas,"names a class or a group, not this page's substance (no variant of 'aluminum sulfate anhydrous al2o12s3' and no UNII name for it)",0
aluminii sulfas anhydrous,"names a class or a group, not this page's substance (no variant of 'aluminum sulfate anhydrous al2o12s3' and no UNII name for it)",0
aluminium sulfate anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
aluminum sulfate anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
aluminum sulphate anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
aluminum zirconium octachlorohydrex gly anhydrous,"names a class or a group, not this page's substance (no variant of 'aluminum zirconium octachlorohydrate' and no UNII name for it)",0
ambien tablets,"names a class or a group, not this page's substance (no variant of 'zolpidem' and no UNII name for it)",0
amicos,"names a class or a group, not this page's substance (no variant of 'clebopride' and no UNII name for it)",0
amidotrizoic acid anhydrous,"names a class or a group, not this page's substance (no variant of 'diatrizoic acid' and no UNII name for it)",0
amikacini sulfas,"names a class or a group, not this page's substance (no variant of 'amikacin' and no UNII name for it)",0
amlodipine maleate s,"names a class or a group, not this page's substance (no variant of 'levamlodipine' and no UNII name for it)",0
ampelopsis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
amph eros,"names a class or a group, not this page's substance (no variant of 'amfetamine' and no UNII name for it)",0
amphetamine sulfate component of mydayis,"names a class or a group, not this page's substance (no variant of 'amfetamine' and no UNII name for it)",0
anas barbariae hepatis et cordis,"names a class or a group, not this page's substance (no variant of 'cairina moschata heart liver autolysate' and no UNII name for it)",0
andrographis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
angelica sinensis,"names a class or a group, not this page's substance (no variant of 'withanolide d' and no UNII name for it)",0
angelica sinensis oliv diels,"names a class or a group, not this page's substance (no variant of 'withanolide d' and no UNII name for it)",0
anhydrous,ambiguous: 14 pages carry this name and they are not forms of one substance,0
anisi fructus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
anlotinib hydrochloride capsules,"names a class or a group, not this page's substance (no variant of 'catequentinib' and no UNII name for it)",0
anthocyanidins,"names a class or a group, not this page's substance (no variant of 'flavylium' and no UNII name for it)",0
anthocyanins,"names a class or a group, not this page's substance (no variant of 'flavylium' and no UNII name for it)",0
anthocyanosides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
anti cd20 monoclonal antibodies,"names a class or a group, not this page's substance (no variant of 'rituximab' and no UNII name for it)",0
anti d immunoglobulins,"names a class or a group, not this page's substance (no variant of 'human rho d immune globulin' and no UNII name for it)",0
anti melanoma mab fragments,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
anti pd 1 antibodies,ambiguous: 2 pages carry this name and they are not forms of one substance,0
anti pd 1 monoclonal antibodies,"names a class or a group, not this page's substance (no variant of 'nivolumab' and no UNII name for it)",0
anti pd 1 pd l1 antibodies,"names a class or a group, not this page's substance (no variant of 'pembrolizumab' and no UNII name for it)",0
anti vegf injections,"names a class or a group, not this page's substance (no variant of 'aflibercept' and no UNII name for it)",0
antibiotic eye drops,"names a class or a group, not this page's substance (no variant of 'gatifloxacin anhydrous' and no UNII name for it)",0
antineoplastons,"names a class or a group, not this page's substance (no variant of 'antineoplaston a10' and no UNII name for it)",0
antivenin latrodectus mactans,"names a class or a group, not this page's substance (no variant of 'scorpion centruroides immune fab2 antivenin equine' and no UNII name for it)",0
aorta drops,"names a class or a group, not this page's substance (no variant of 'beef heart' and no UNII name for it)",0
apatinib mesylate tablets,"names a class or a group, not this page's substance (no variant of 'rivoceranib' and no UNII name for it)",0
apilimod bis,"names a class or a group, not this page's substance (no variant of 'apilimod c18h18n2o4s' and no UNII name for it)",0
appendix drops,"names a class or a group, not this page's substance (no variant of 'sus scrofa colon' and no UNII name for it)",0
aq as,ambiguous: 2 pages carry this name and they are not forms of one substance,0
arabinogalactans,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
arava 20 mg tablets,"names a class or a group, not this page's substance (no variant of 'leflunomide' and no UNII name for it)",0
argenti nitras,"names a class or a group, not this page's substance (no variant of 'silver nitrate agno3' and no UNII name for it)",0
aricept orally disintegrating tablets,"names a class or a group, not this page's substance (no variant of 'donepezil' and no UNII name for it)",0
arisaema erubescens,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
arseneous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
arsenicum album hpus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
arsenous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
artes,"names a class or a group, not this page's substance (no variant of 'melinamide' and no UNII name for it)",0
arthrobacter citreus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
arthrobacter globiformis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
arthrobacter luteus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
arveles,"names a class or a group, not this page's substance (no variant of 'dexketoprofen' and no UNII name for it)",0
asparagus adscendens,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
asparagus racemosus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
aspartic acid usp rs,ambiguous: 5 pages carry this name and they are not forms of one substance,0
aster tataricus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
astragalus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
atazanaviri sulfas,"names a class or a group, not this page's substance (no variant of 'atazanavir' and no UNII name for it)",0
atenos,ambiguous: 2 pages carry this name and they are not forms of one substance,0
atimos,"names a class or a group, not this page's substance (no variant of 'formoterol' and no UNII name for it)",0
atractylodes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
atropine eye drops,"names a class or a group, not this page's substance (no variant of 'atropine sulfate muscarinic acetylcholine receptor m1' and no UNII name for it)",0
atropine sulfate anhydrous,"names a class or a group, not this page's substance (no variant of 'atropine sulfate muscarinic acetylcholine receptor m1' and no UNII name for it)",0
atropine sulfate component of enlon plus,"names a class or a group, not this page's substance (no variant of 'atropine sulfate muscarinic acetylcholine receptor m1' and no UNII name for it)",0
atropini sulfas,"names a class or a group, not this page's substance (no variant of 'atropine sulfate muscarinic acetylcholine receptor m1' and no UNII name for it)",0
atrovent inhalets,"names a class or a group, not this page's substance (no variant of 'ipratropium bromide' and no UNII name for it)",0
autologous human fibroblasts,"names a class or a group, not this page's substance (no variant of 'azficel t' and no UNII name for it)",0
autologous tumor infiltrating lymphocytes,"names a class or a group, not this page's substance (no variant of 'lifileucel' and no UNII name for it)",0
autumn crocus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
aventis allegra 180 mg tablets,"names a class or a group, not this page's substance (no variant of 'fexofenadine' and no UNII name for it)",0
avocado soy unsaponifiables,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
awz1066s,"names a class or a group, not this page's substance (no variant of 'awz 1066s' and no UNII name for it)",0
azai ss,"names a class or a group, not this page's substance (no variant of 'temefos' and no UNII name for it)",0
azilva tablets,"names a class or a group, not this page's substance (no variant of 'azilsartan' and no UNII name for it)",0
azomonas agilis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
ba 34 276 as,"names a class or a group, not this page's substance (no variant of 'maprotiline' and no UNII name for it)",0
bacillus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
bacillus indicus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
bacopasides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
bacosides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
barii sulfas,"names a class or a group, not this page's substance (no variant of 'barium sulfate' and no UNII name for it)",0
baynas,"names a class or a group, not this page's substance (no variant of 'ramatroban' and no UNII name for it)",0
belladonna total alkaloids,"names a class or a group, not this page's substance (no variant of 'atropa belladonna' and no UNII name for it)",0
benicar 40 mg tablets,"names a class or a group, not this page's substance (no variant of 'olmesartan medoxomil' and no UNII name for it)",0
benzonatate usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
benzylis benzoas,"names a class or a group, not this page's substance (no variant of 'benzyl benzoate' and no UNII name for it)",0
bephenii hydroxynaphthoas,"names a class or a group, not this page's substance (no variant of 'bephenium' and no UNII name for it)",0
bergenia pacumbis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
berries,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
beta glucans,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
betadine solution swabsticks,"names a class or a group, not this page's substance (no variant of 'povidone iodine' and no UNII name for it)",0
betamethasone as,ambiguous: 2 pages carry this name and they are not forms of one substance,0
betamethasone usp rs,ambiguous: 8 pages carry this name and they are not forms of one substance,0
betamethasoni valeras,"names a class or a group, not this page's substance (no variant of 'betamethasone valerate' and no UNII name for it)",0
betanis,"names a class or a group, not this page's substance (no variant of 'mirabegron' and no UNII name for it)",0
biaxin xl 500 mg tablets,"names a class or a group, not this page's substance (no variant of 'clarithromycin' and no UNII name for it)",0
bibf 1120 es,"names a class or a group, not this page's substance (no variant of 'nintedanib' and no UNII name for it)",0
bibn 4096 bs,"names a class or a group, not this page's substance (no variant of 'olcegepant' and no UNII name for it)",0
bibn 4096bs,"names a class or a group, not this page's substance (no variant of 'olcegepant' and no UNII name for it)",0
bibr 796 bs,"names a class or a group, not this page's substance (no variant of 'doramapimod' and no UNII name for it)",0
bifidobacterium nos,"names a class or a group, not this page's substance (no variant of 'bifidobacteria' and no UNII name for it)",0
biil 284 bs,"names a class or a group, not this page's substance (no variant of 'amelubant' and no UNII name for it)",0
biniwas,"names a class or a group, not this page's substance (no variant of 'binifibrate' and no UNII name for it)",0
bioactive glass,"names a class or a group, not this page's substance (no variant of 'calcium sodium phosphosilicate' and no UNII name for it)",0
bioavailable stannous fluoride dentifrices,"names a class or a group, not this page's substance (no variant of 'stannous fluoride f2sn' and no UNII name for it)",0
bioflavonoids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
birb 796 bs,"names a class or a group, not this page's substance (no variant of 'doramapimod' and no UNII name for it)",0
birb0796bs,"names a class or a group, not this page's substance (no variant of 'doramapimod' and no UNII name for it)",0
bitter grass,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
bitter principals,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
bitter principles,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
bivalirudin usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
bladder drops,"names a class or a group, not this page's substance (no variant of 'sus scrofa urinary bladder' and no UNII name for it)",0
bleomycini sulfas,"names a class or a group, not this page's substance (no variant of 'bleomycin' and no UNII name for it)",0
blepharis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
blink gel tears,"names a class or a group, not this page's substance (no variant of 'polyethylene glycol 400' and no UNII name for it)",0
blopress,"names a class or a group, not this page's substance (no variant of 'candesartan' and no UNII name for it)",0
blue wiss,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
bnabs,ambiguous: 3 pages carry this name and they are not forms of one substance,0
bone drops,"names a class or a group, not this page's substance (no variant of 'bos taurus bone marrow' and no UNII name for it)",0
bone marrow drops,"names a class or a group, not this page's substance (no variant of 'bos taurus bone marrow' and no UNII name for it)",0
boostin s,"names a class or a group, not this page's substance (no variant of 'sometribove' and no UNII name for it)",0
borax glass,"names a class or a group, not this page's substance (no variant of 'sodium borate' and no UNII name for it)",0
boronic acid analogues,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
boswellic acids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
brachial drops,"names a class or a group, not this page's substance (no variant of 'bos taurus artery' and no UNII name for it)",0
brain drops,"names a class or a group, not this page's substance (no variant of 'bos taurus brain' and no UNII name for it)",0
brevibacillus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
brevibacillus laterosporus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
brinavess,"names a class or a group, not this page's substance (no variant of 'vernakalant' and no UNII name for it)",0
brl 17421 as,"names a class or a group, not this page's substance (no variant of 'temocillin' and no UNII name for it)",0
broadly neutralizing antibodies,"names a class or a group, not this page's substance (no variant of 'zinlirvimab' and no UNII name for it)",0
bronco plus,"names a class or a group, not this page's substance (no variant of 'stepronin' and no UNII name for it)",0
