licenceNumber,productName,activeIngredients,forensicClassification,reason
SIN14452P,MEGALOTECT CP SOLUTION FOR INFUSION 100 U/ML,Human Cytomegalovirus Immunoglobulin in 50mg/ml Human Plasma Protein (IgG ≥ 96%),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17167P,PANTOLEXIN POWDER FOR SOLUTION FOR INJECTION 40MG/VIAL,Pantoprazole sodium sesquihydrate 45.1mg eqvt to Pantoprazole,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN12230P,PHOSPHO-SODA ORAL SOLUTION,Disodium phosphate dodecahydrate&&Sodium dihydrogen phosphate dihydrate,Pharmacy Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN09136P,RIDWIND BABY DROP,SIMETHICONE,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13813P,Rotarix Oral Suspension (Tube),"HUMAN ROTAVIRUS, LIVE, ATTENUATED, RIX 4414 STRAIN",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN11205P,PENTAGLOBIN INJECTION 50 mg/ml,IMMUNOGLOBULIN (HUMAN),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN08493P,GAMMAGARD S/D FOR INJECTION,IMMUNOGLOBULIN G,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15055P,PNEUMOVAX 23 (PREFILLED SYRINGE),Pneumococcal Polysaccharides 23 Most Prevalent Types,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14400P,Aflunov Suspension for Injection 0.5ml in Pre-filled syringe,Influenza virus surface antigens (haemagglutinin and neuraminidase) A/turkey/Turkey/1/05 (H5N1)-like strain used (NIBRG-23),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN04484P,PREMARIN TABLET 0.625 mg,Conjugated Estrogens Desiccation with Lactose 14.57mg @4.29% CE,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14205P,PANALEXIN (PANTOPRAZOLE) POWDER FOR SOLUTION FOR INJECTION 40MG,Pantoprazole sodium sesquihydrate 45.2mg eqvt to Pantoprazole,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13042P,Alimta 500mg Powder for Solution for Infusion,Pemetrexed as Pemetrexed Disodium,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN12190P,NOVOMIX 30 FLEXPEN INJECTION 100 u/ml,Protamine-crystallised insulin aspart&&Soluble Insulin Aspart,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13629P,Erbitux 5mg/ml,"Cetuximab, chimeric antibody",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13775P,Synflorix Suspension for Injection (Prefilled Syringe),Conjugate of Streptococcus pneumoniae type 1 & Haemophilus influenzae protein D&&Conjugate of Streptococcus pneumoniae type 14 and Haemophilus influenzae protein D&&Conjugate of Streptococcus pneumoniae type 18C and tetanus toxoid&&Conjugate of Streptococcus pneumoniae type 19F and diphtheria toxoid&&Conjugate of Streptococcus pneumoniae type 23F and Haemophilus influenzae protein D&&Conjugate of Streptococcus pneumoniae type 4 and Haemophilus influenzae protein D&&Conjugate of Streptococcus pneumoniae type 5 and Haemophilus influenzae protein D&&Conjugate of Streptococcus pneumoniae type 6B and Haemophilus influenzae protein D&&Conjugate of Streptococcus pneumoniae type 7F and Haemophilus influenzae protein D&&Conjugate of Streptococcus pneumoniae type 9V and Haemophilus influenzae protein D&&Diphtheria Toxoid (DT) Carrier Protein&&Polysaccharide (PS)&&Protein-D (PD) Carrier Protein (derived from non-typeable Haemophilus influenzae)&&Tetanus Toxoid (TT) Carrier Protein,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN11088P,BCG VACCINE AJV POWDER AND SOLVENT FOR SUSPENSION FOR INJECTION,LIVE ATTENUATED MYCOBACTERIUM BOVIS (BCG) DANISH 1331,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN01064P,PLASMANATE INJECTION 5%,PLASMA PROTEINS (HUMAN),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN10954P,DYSPORT FOR INJECTION 500 u/vial,CLOSTRIDIUM BOTULINUM TYPE A TOXIN-HAEMAGGLUTININ COMPLEX,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15238P,DYSPORT FOR INJECTION 300u/vial,Clostridium Botulinum Type A Toxin-Haemagglutinin Complex,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN01490P,ATGAM INJECTION 50 mg/ml,HORSE GAMMA GLOBULIN,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN12396P,AGELMIN TABLET 10 mg,CETIRIZINE DIHCl,Pharmacy Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13374P,Cervarix (prefilled syringe),HPV-16 L1&&HPV-18 L1,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17363P,CELLDEMIC® Pre-Pandemic influenza vaccine suspension for injection in pre-filled syringe,influenza virus surface antigens (haemagglutinin and neuraminidase) A/turkey/Turkey/1/2005(H5N1)-like strain used (NIBRG-23),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17377P,AUDENZ® Pandemic influenza vaccine suspension for injection in pre-filled syringe,influenza virus surface antigens (haemagglutinin and neuraminidase),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13743P,Rotarix Oral Suspension (Oral Applicator),"HUMAN ROTAVIRUS, LIVE, ATTENUATED, RIX 4414 STRAIN",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN10411P,HAEMOCTIN SDH 250 FOR INJECTION 250 iu/vial,HUMAN BLOOD COAGULATION FACTOR VIII,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN12556P,IGANTET INJECTION 250 iu/ml,ANTITETANUS IMMUNOGLOBULIN (HUMAN),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN12557P,IGANTET INJECTION 500 iu/2 ml,ANTITETANUS IMMUNOGLOBULIN (HUMAN),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN04854P,VIVIDRIN EYE DROPS 20 mg/ml,DISODIUM CROMOGLYCATE,Pharmacy Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14504P,Omacor Soft Capsule 1000mg,Omega-3-acid ethyl esters 90 (containing: Eicosapent (EPA) 460mg and doconexent (DHA) 380mg ethyl esters and α-tocopherol 4 mg),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15467P,SODIUM IODIDE NA131I POLATOM CAPSULE,"Sodium iodide Na131I, solution",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16283P,PERTAGEN® SUSPENSION FOR INJECTION 0.5 ML/DOSE,Filamentous Haemagglutinin (FHA)&&Recombinant Pertussis Toxin (rPT),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16050P,ADYNOVATE 1000 IU POWDER AND SOLVENT FOR SOLUTION FOR INJECTION,"Rurioctocog alfa pegol [Antihaemophilic Factor (Recombinant), PEGylated]",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16051P,ADYNOVATE 1500 IU POWDER AND SOLVENT FOR SOLUTION FOR INJECTION,"Rurioctocog alfa pegol [Antihaemophilic Factor (Recombinant), PEGylated]",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16052P,ADYNOVATE 2000 IU POWDER AND SOLVENT FOR SOLUTION FOR INJECTION,"Rurioctocog alfa pegol [Antihaemophilic Factor (Recombinant), PEGylated]",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16053P,ADYNOVATE 3000 IU POWDER AND SOLVENT FOR SOLUTION FOR INJECTION,"Rurioctocog alfa pegol [Antihaemophilic Factor (Recombinant), PEGylated]",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14534P,NIMENRIX POWDER AND SOLVENT FOR SOLUTION FOR INJECTION,Neisseria meningitidis group A polysaccharide&&Neisseria meningitidis group C polysaccharide&&Neisseria meningitidis group W-135 polysaccharide&&Neisseria meningitidis group Y polysaccharide&&Tetanus toxoid carrier protein,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN06338P,SMECTA SACHET 3 g/sachet,DIOCTAHEDRAL SMECTITE,General Sale List,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN03899P,VOTAZINE TABLET 25 mg,PROMETHAZINE THEOCLATE,Pharmacy Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15477P,VAXIGRIPTETRA SUSPENSION FOR INJECTION IN PREFILLED SYRINGE,"INFLUENZA VIRUS (NH) A/Croatia/10136RV/2023(H3N2) - like strain (A/Croatia/10136RV/2023, X-425A)&&INFLUENZA VIRUS (NH) A/Victoria/4897/2022 (H1N1)pdm09-like strain (A/Victoria/4897/2022, IVR-238)&&INFLUENZA VIRUS (NH) B/Austria/1359417/2021 - like strain (B/Michigan/01/2021, wild type)&&INFLUENZA VIRUS (NH) B/Phuket/3073/2013 - like strain (B/Phuket/3073/2013, wild type)",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13725P,Renvela ® Tablet 800mg,Anhydrous Sevelamer Carbonate,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15574P,PRIVIGEN SOLUTION FOR INFUSION 100g/L,Human Immunoglobulin,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16048P,ADYNOVATE 250 IU POWDER AND SOLVENT FOR SOLUTION FOR INJECTION,"Rurioctocog alfa pegol [Antihaemophilic Factor (Recombinant), PEGylated]",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16049P,ADYNOVATE 500 IU POWDER AND SOLVENT FOR SOLUTION FOR INJECTION,"Rurioctocog alfa pegol [Antihaemophilic Factor (Recombinant), PEGylated]",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13303P,RotaTeq,Human-bovine rotavirus G1&&Human-bovine rotavirus G2&&Human-bovine rotavirus G3&&Human-bovine rotavirus G4&&Human-bovine rotavirus P1,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14130P,Afinitor Tablet 2.5 mg,Everolimus +0.2% BHT,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15591P,"INFLUVAC TETRA, SUSPENSION FOR INJECTION IN PRE-FILLED SYRINGE 0.5 ML","Influenza Virus (SH) A/Missouri/11/2025 (H1N1)pdm09-like strain (A/Switzerland/6849/2025, IVR-278)&&Influenza Virus (SH) A/Singapore/GP20238/2024 (H3N2)-like strain (A/Singapore/GP20238/2024, IVR-277)&&Influenza Virus (SH) B/Austria/1359417/2021-like strain (B/Austria/1359417/2021, BVR-26)&&Influenza Virus (SH) B/Phuket/3073/2013-like strain (B/Phuket/3073/2013, wild type)",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14694P,IMOJEV® POWDER AND DILUENT FOR SUSPENSION FOR INJECTION,"Japanese encephalitis virus (Live, attenuated, recombinant)",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16616P,"COMIRNATY, Concentrate for Dispersion for Injection, 3 micrograms/dose",mRNA encoding LP.8.1.,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16397P,"COMIRNATY, Dispersion for Injection, 10 micrograms/dose",mRNA encoding LP.8.1.,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17017P,"COMIRNATY, DISPERSION FOR INJECTION, 10 MICROGRAMS/DOSE (SINGLE-DOSE VIAL)",mRNA encoding LP.8.1.,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14947P,ENTRESTO FILM COATED TABLET 50MG,Sacubitril/Valsartan Sodium salt complex 56.551mg eqv sacubitril/valsartan free anhydrous acid,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17148P,"NUVAXOVID DISPERSION FOR INJECTION COVID-19 VACCINE 5 mcg/dose (RECOMBINANT, ADJUVANTED) IN SDV",SARS-CoV-2 recombinant spike protein (Omicron JN.1),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14585P,XEOMIN® POWDER FOR SOLUTION FOR INJECTION 100 UNITS/VIAL,"Clostridium Botulinum neurotoxin type A (150 kDa), free from complexing proteins",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN02340P,ACTILYSE TREATMENT-SET 50 mg/vial,RECOMBINANT HUMAN TISSUE-TYPE PLASMINOGEN ACTIVATOR,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17049P,ABRYSVO POWDER AND SOLVENT FOR SOLUTION FOR INJECTION,(Powder) RSV subgroup A stabilized prefusion F protein&&(Powder) RSV subgroup B stabilized prefusion F protein,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13177P,"INFLUVAC, suspension for injection 0.5ml","Influenza Virus (SH) A/Missouri/11/2025 (H1N1)pdm09-like strain (A/Switzerland/6849/2025, IVR-278)&&Influenza Virus (SH) A/Singapore/GP20238/2024 (H3N2)-like strain (A/Singapore/GP20238/2024,IVR-277)&&Influenza Virus (SH) B/Austria/1359417/2021-like strain (B/Austria/1359417/2021, BVR-26)",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17067P,JYNNEOS SUSPENSION FOR INJECTION,"Modified Vaccinia Ankara - Bavarian Nordic (MVA-BN, live, non-replicating)",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16103P,NUBEQA FILM-COATED TABLET 300MG,Darolutamide milled,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16077P,SONAZOID POWDER AND SOLVENT FOR DISPERSION FOR INJECTION 16 MICROLITRE PER VIAL,Perfluorobutane Microbubbles,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN08481P,TYPHIM VI INJECTION 0.025 mg/0.5 ml,PURIFIED VI CAPSULAR POLYSACCHARIDE OF S.TYPHI (TYPE 2 STRAIN),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
