key,page,name,from_kind,to_kind,source,rule,reason
"COMBO:{K1:8GTS82S83M,K1:GE2UA340FM}",DIMENHYDRINATE,DIMENHYDRINATE 50MG,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
"COMBO:{K1:8GTS82S83M,K1:GE2UA340FM}",DIMENHYDRINATE,DIMENHYDRINATE 50 MG,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
"COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}","Metformin Hydrochloride, Sitagliptin",Sitagliptin and Metformin Hydrochloride,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
"COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}","Metformin Hydrochloride, Sitagliptin","Sitagliptin, Metformin Hydrochloride",salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
"COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}","Metformin Hydrochloride, Sitagliptin","Sitagliptin Phosphate Anhydrous, Metformin Hydrochloride",salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
"COMBO:{K1:AN164J8Y0X,K1:JE42381TNV}",CO-TRIMOXAZOLE,cotrimoxazole,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:ER09126G7A
"COMBO:{K1:AN164J8Y0X,K1:JE42381TNV}",CO-TRIMOXAZOLE,sulfamethoxazole,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:JE42381TNV
"COMBO:{K1:AN164J8Y0X,K1:JE42381TNV}",CO-TRIMOXAZOLE,sulfamethoxazole-trimethoprim,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:JE42381TNV
"COMBO:{K1:AN164J8Y0X,K1:JE42381TNV}",CO-TRIMOXAZOLE,trimethoprim-sulfamethoxazole,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:AN164J8Y0X, K1:JE42381TNV"
"COMBO:{K1:M7Y086VB5G,K1:UPN4ITI8T4}",TRIMETREXATE GLUCURONATE,tmtx,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:UPN4ITI8T4
HOLD:existing:beclomethasone,Beclometasone,Beclomethasone Dipropionate,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:beclomethasone,Beclometasone,Beclomethasone Dipropionate Monohydrate,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:benzhydrocodone,Benzhydrocodone,Benzhydrocodone hydrochloride component of apadaz,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:clobetasol,Clobetasol,Clobetasol Propionate Cream USP 0.05% Clobetasol Propionate Cream USP 0.05%,salt,drop,existing,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
HOLD:existing:clobetasol,Clobetasol,Clobetasol Propionate (Emollient) / Clobetasol Propionate Cream USP 0.05% Clobetasol Propionate Cream USP 0.05% / Temovate / Clobex / Embeline / Impoyz,salt,drop,existing,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
HOLD:existing:dextroamphetamine-saccharate,Dextroamphetamine Saccharate,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate and Amp Sulfate",salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:dextroamphetamine-saccharate,Dextroamphetamine Saccharate,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate, Amphetamine Sulfate",salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:dextroamphetamine-saccharate,Dextroamphetamine Saccharate,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate and Amp Sulfate / Adderall / Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate, Amphetamine Sulfate / Mydayis / Dextroamphetamine Saccharate; Amphetamine Aspartate Monohydrate; Dextroamphetamine Sulfate; Amphetamine Sulfate / Dextroamp Saccharate,amp Aspartate,dextroamp Sulfate and Amp Sulfate",salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:fluphenazine,Fluphenazine,Fluphenazine Hydrochloride / Prolixin / Permitil,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:iothalamate-sodium-i-125,Iothalamate Sodium I-125,SODIUM IOTHALAMATE I-125 INJECTION,salt,drop,existing,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
HOLD:existing:methylphenidate,Methylphenidate,methylphenidate hydrochloride CD,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:methylphenidate,Methylphenidate,Methylphenidate Hydrochloride Extended-Release,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:methylphenidate,Methylphenidate,Methylphenidate Hydrochloride / Metadate Cd / Ritalin / Relexxii / Methylphenidate Hydrochloride (La) / Methylin,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:methylphenidate,Methylphenidate,Methylphenidate hydrochloride cii,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:methylphenidate,Methylphenidate,immediate release methylphenidate hydrochloride,salt,common,open-targets,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:methylphenidate,Methylphenidate,methylphenidate hcl erct,salt,common,open-targets,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:methylphenidate,Methylphenidate,oros methylphenidate hcl,salt,common,open-targets,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:methylphenidate,Methylphenidate,oros methylphenidate hydrochloride,salt,common,open-targets,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:methylphenidate,Methylphenidate,osmotic release oral system methylphenidate hydrochloride,salt,drop,open-targets,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
HOLD:existing:methylphenidate,Methylphenidate,osmotic-release oral system methylphenidate,salt,drop,open-targets,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
HOLD:existing:methylphenidate,Methylphenidate,mp,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:4G7DS2Q64Y, K1:5GMR90S4KN, K1:PKK6MUZ20G"
HOLD:existing:nafarelin,Nafarelin,gnrha,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:0F65R8P09N, K1:EFY6W0M8TG, K2:VXKHXGOKWPXYNA-PGBVPBMZSA-N"
HOLD:existing:oxogestone,Oxogestone,MOONSTONE,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
HOLD:existing:trenbolone,Trenbolone,"Approved in the United States only for cattle, as trenbolone acetate implants (Finaplix, and in combination products such as Revalor and Synovex Plus)",salt,drop,existing,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
K1:001L2FE0M3,Alvespimycin,17-dmag hcl,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:0022LFJ74Y,Taraxacum Officinale Leaf,15% Azelaic Acid Acne Cream,salt,brand,existing,S18-1d-FORM-STRING-IS-A-PRODUCT,a dosage-form string a register records as a product name
K1:0022LFJ74Y,Taraxacum Officinale Leaf,10% Azelaic Acid Acne Cream,salt,drop,existing,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
K1:0022LFJ74Y,Taraxacum Officinale Leaf,2-Pack Facial Serum / 15% Azelaic Acid Acne Cream / 10% Azelaic Acid Acne Cream,salt,drop,existing,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
K1:005990WHZZ,Deoxycholic acid,sodium deoxycholate,salt,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K2:FFRRRORQFBLEJM-GXACPUAJSA-N
K1:005990WHZZ,Deoxycholic acid,sodium deoxycholate for injection,salt,drop,open-targets,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
K1:005990WHZZ,Deoxycholic acid,sodium deoxycholate injection,salt,drop,open-targets,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
K1:00UK7646FG,Capsicum,CAPSAICIN,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:00UK7646FG,Capsicum,CAPSICUM EXTRACT,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:013TE6E4WV,Ledipasvir,led,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:G2WGD69BLI
K1:01756N87N8,Wormwood Oil,YIMIMDE ATHLETES FOOT,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01K63SUP8D,Fluoxetine,Fluoxetine hydrochloride component of symbyax,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01K63SUP8D,Fluoxetine,antidepressant,common,drop,open-targets,S18-1b-REGISTRY-CLASS-TERM,a registry-derived name that is a class-vocabulary term
K1:01K63SUP8D,Fluoxetine,selective serotonin reuptake inhibitors,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:0DHU5B8D6V, K1:4O4S742ANY, K1:QUC7NX6WMB"
K1:01K63SUP8D,Fluoxetine,ssri,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:0DHU5B8D6V, K1:41VRH5220H, K1:4O4S742ANY"
K1:01K63SUP8D,Fluoxetine,ssris,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:0DHU5B8D6V, K1:41VRH5220H, K1:4O4S742ANY"
K1:01MI4Q9DI3,Pilocarpine,Pilocarpine hydrochloride component of betoptic pilo,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01MI4Q9DI3,Pilocarpine,Piloc hcl,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01MI4Q9DI3,Pilocarpine,csf-1,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:EWL6971ETP
K1:01MI4Q9DI3,Pilocarpine,Pilocarpine Hydrochloride Ophthalmic,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01MI4Q9DI3,Pilocarpine,PILOCARPINE HYDROCHLORIDE OPHTHALMIC SOLUTION,salt,drop,existing,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
K1:01MI4Q9DI3,Pilocarpine,Pilocarpine Hydrochloride / Salagen / Isopto Carpine / Qlosi / Vuity / Pilocarpine Hydrochloride Ophthalmic,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01O4K0631N,Veliparib,parp inhibitors,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:8237F3U7EH, K1:8375F9S90C, K1:9QHX048FRV"
K1:01O4K0631N,Veliparib,parpi,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:8237F3U7EH, K1:8375F9S90C, K1:9QHX048FRV"
K1:01OUW6MA4L,HYLAN G-F 20,hyaluronan,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:B7SG5YV2SI, K1:S270N0TRQY"
K1:01OUW6MA4L,HYLAN G-F 20,hyaluronic acid,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:B7SG5YV2SI, K1:S270N0TRQY"
K1:01Q9PC255D,Ammonium Chloride (UNII 01Q9PC255D),AMMONIA INHALANT,salt,brand,existing,S18-1d-FORM-STRING-IS-A-PRODUCT,a dosage-form string a register records as a product name
K1:01T23W89FR,Thiamylal,Sodium thiamylal,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01UQ1KPC7E,Beryllium Sulfate,Beryllium Sulfate Tetrahydrate,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01ZG3TPX31,Bupropion,Amfebutamone hydrochloride,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01ZG3TPX31,Bupropion,Bupropion hydrochloride component of auvelity,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01ZG3TPX31,Bupropion,Bupropion hydrochloride component of contrave,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01ZG3TPX31,Bupropion,naltrexone,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:5S6W795CQM
K1:01ZG3TPX31,Bupropion,abrika bupropion 150 mg xl tablet,salt,drop,open-targets,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
K1:01ZG3TPX31,Bupropion,axs-05,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:7355X3ROTS
K1:01ZG3TPX31,Bupropion,nb,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:5S6W795CQM
K1:01ZG3TPX31,Bupropion,wellbutrin xl 150 mg tablet,salt,drop,open-targets,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
K1:01ZG3TPX31,Bupropion,Bupropion Hydrochloride Xl,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01ZG3TPX31,Bupropion,Bupropion HCL ER(SR),salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:01ZG3TPX31,Bupropion,Bupropion Hydrochloride SR,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:020IUV4N33,Phosphocreatine,Creatine phosphate,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:0223RD59PE,Remoxipride,A-33547.HCL.H20,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:0223RD59PE,Remoxipride,A-33547 HYDROCHLORIDE MONOHYDRATE,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:023C2WHX2V,Trometamol,Tromethamine component of tham-e,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:025P9I542Y,Cyanocobalamin (57co),cobalamin,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:4071IF7E93, K1:8406EY2OQA"
K1:025P9I542Y,Cyanocobalamin (57co),hydroxocobalamin,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of K1:8S07EB1568, K1:Q40X8H422O"
K1:025P9I542Y,Cyanocobalamin (57co),mecobalamin,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:BR1SN1JS2W
K1:025P9I542Y,Cyanocobalamin (57co),methylcobalamin,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,"a registry-derived name that is the recorded name of COMBO:{K1:4071IF7E93,K1:OP0UW79H66}, K1:BR1SN1JS2W"
K1:027828ZV5Q,Gold (198au) colloidal,Colloidal gold (198au) injection,salt,drop,chembl,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
K1:0282IF4JC8,Siremadlin,HDM-201 SUCCINATE,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:0282IF4JC8,Siremadlin,HDM201 SUCCINATE,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:028LZY775B,Vilanterol,gw642444 inhalation powder,common,drop,open-targets,S18-1d-FORM-STRING-NO-PRODUCT,a dosage-form string no register records as a product name
K1:02AA4F4VLP,Leucine 1-C-11,L-LEUCINE HIGH,salt,common,existing,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:02DZ1HBF0M,Emixustat,ACU-4429 HCL,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:02DZ1HBF0M,Emixustat,ACU-4429 HYDROCHLORIDE,salt,common,chembl,S18-1c-NOT-A-SALT-FORM,not this record's own name plus a counter-ion
K1:02E00T2QDE,Eftrenonacog alfa,factor ix,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:382L14738L
K1:02FXP10O2U,Interleukin-12 Human Recombinant,il-12,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:31Z82G8ME1
K1:02FXP10O2U,Interleukin-12 Human Recombinant,recombinant interleukin-12,common,drop,open-targets,S18-1a-REGISTRY-NAME-OF-ANOTHER-PAGE,a registry-derived name that is the recorded name of K1:31Z82G8ME1
