page_a,page_b,why_unresolved,evidence
K1:4G4WDK2YBS,K1:94ZLA3W45F,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""ZOFENOPRILAT"", ""b"": ""Arginine"", ""inchikey_child"": ""UQWLOWFDKAFKAP-WXHSDQCUSA-N"", ""inchikey_parent"": ""ODKSFYDXXFIFQN-BYPYZUCNSA-N"", ""name_child"": ""zofenoprilat"", ""name_parent"": ""arginine"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:4T6H12BN9U,K1:B6E5W8RQJ4,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Petrolatum"", ""b"": ""White Petrolatum"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""petrolatum"", ""name_b"": ""white petrolatum"", ""origin"": ""slug-collision:white-petrolatum"", ""unii_a"": ""4T6H12BN9U"", ""unii_b"": ""B6E5W8RQJ4""}"
K1:5138Q19F1X,K1:67M901L9NQ,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Ammonia"", ""b"": ""Ammonium Lactate"", ""gsrs_relationship"": null, ""inchikey_a"": ""QGZKDVFQNNGYKY-UHFFFAOYSA-N"", ""inchikey_b"": ""RZOBLYBZQXQGFY-UHFFFAOYSA-N"", ""name_a"": ""ammonia"", ""name_b"": ""ammonium"", ""origin"": ""slug-collision:ammonia"", ""unii_a"": ""5138Q19F1X"", ""unii_b"": ""67M901L9NQ""}"
K1:5138Q19F1X,K1:AC80WD7GPF,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Ammonia"", ""b"": ""Ammonium Benzoate"", ""gsrs_relationship"": null, ""inchikey_a"": ""QGZKDVFQNNGYKY-UHFFFAOYSA-N"", ""inchikey_b"": ""VWSRWGFGAAKTQG-UHFFFAOYSA-N"", ""name_a"": ""ammonia"", ""name_b"": ""ammonium"", ""origin"": ""slug-collision:ammonia"", ""unii_a"": ""5138Q19F1X"", ""unii_b"": ""AC80WD7GPF""}"
K1:5138Q19F1X,K1:R0JB3224WS,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Ammonia"", ""b"": ""Ammonium Bromide"", ""gsrs_relationship"": null, ""inchikey_a"": ""QGZKDVFQNNGYKY-UHFFFAOYSA-N"", ""inchikey_b"": ""SWLVFNYSXGMGBS-UHFFFAOYSA-N"", ""name_a"": ""ammonia"", ""name_b"": ""ammonium"", ""origin"": ""slug-collision:ammonia"", ""unii_a"": ""5138Q19F1X"", ""unii_b"": ""R0JB3224WS""}"
K1:53AXN4NNHX,K2:UCZDWGAJSOUHOU-VDBPWWIZSA-N,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Semaglutide"", ""b"": ""GLP-1"", ""gsrs_relationship"": null, ""inchikey_a"": ""DLSWIYLPEUIQAV-CCUURXOWSA-N"", ""inchikey_b"": ""UCZDWGAJSOUHOU-VDBPWWIZSA-N"", ""name_a"": ""semaglutide"", ""name_b"": ""glp 1"", ""origin"": ""slug-collision:semaglutide"", ""unii_a"": ""53AXN4NNHX"", ""unii_b"": ""0JS9125PIZ""}"
K1:69PN84IO1A,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Enalapril"", ""b"": ""MALEIC ACID"", ""inchikey_child"": ""GBXSMTUPTTWBMN-XIRDDKMYSA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-UPHRSURJSA-N"", ""name_child"": ""enalapril"", ""name_parent"": ""maleic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:6QT214X4XU,K1:R16CO5Y76E,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Aloxiprin"", ""b"": ""ASA"", ""inchikey_child"": ""MXCPYJZDGPQDRA-UHFFFAOYSA-N"", ""inchikey_parent"": ""BSYNRYMUTXBXSQ-UHFFFAOYSA-N"", ""name_child"": ""aloxiprin"", ""name_parent"": ""asa"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:75IZZ8Y727,K1:N20HL7Q941,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Camphor Oil"", ""b"": ""Camphor"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": ""DSSYKIVIOFKYAU-XCBNKYQSSA-N"", ""name_a"": ""camphor oil"", ""name_b"": ""camphor"", ""origin"": ""suspected-nominal:camphor"", ""unii_a"": ""75IZZ8Y727"", ""unii_b"": ""N20HL7Q941""}"
K1:76LA80IG2G,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:76LA80IG2G"", ""K1:1H87NVF4DB""], ""origin"": ""suspected-nominal:glucagon""}"
K1:76LA80IG2G,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:76LA80IG2G"", ""K1:1H87NVF4DB""], ""origin"": ""slug-collision:glucagon""}"
K1:7GB7U7M282,K1:OF5P57N2ZX,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Hypoglycine A"", ""b"": ""Alanine"", ""gsrs_relationship"": null, ""inchikey_a"": ""OOJZCXFXPZGUBJ-RITPCOANSA-N"", ""inchikey_b"": ""QNAYBMKLOCPYGJ-REOHCLBHSA-N"", ""name_a"": ""hypoglycine a"", ""name_b"": ""alanine"", ""origin"": ""suspected-nominal:alanine"", ""unii_a"": ""7GB7U7M282"", ""unii_b"": ""OF5P57N2ZX""}"
K1:7QWA1RIO01,K2:ZAKOWWREFLAJOT-ADUHFSDSSA-N,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Alpha-Tocopherol"", ""b"": ""TOCOPHEROL ACETATE"", ""gsrs_relationship"": null, ""inchikey_a"": ""GVJHHUAWPYXKBD-UHFFFAOYSA-N"", ""inchikey_b"": ""ZAKOWWREFLAJOT-ADUHFSDSSA-N"", ""name_a"": ""alpha tocopherol"", ""name_b"": ""tocopherol"", ""origin"": ""suspected-nominal:tocopherol"", ""unii_a"": ""7QWA1RIO01"", ""unii_b"": ""9E8X80D2L0""}"
K1:7UJQ5OPE7D,K1:8MDF5V39QO,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Carbonate Ion"", ""b"": ""Sodium Bicarbonate"", ""gsrs_relationship"": null, ""inchikey_a"": ""BVKZGUZCCUSVTD-UHFFFAOYSA-N"", ""inchikey_b"": ""UIIMBOGNXHQVGW-UHFFFAOYSA-M"", ""name_a"": ""carbonate ion"", ""name_b"": ""sodium"", ""origin"": ""suspected-nominal:bicarbonate"", ""unii_a"": ""7UJQ5OPE7D"", ""unii_b"": ""8MDF5V39QO""}"
K1:7UJQ5OPE7D,K1:HM5Z15LEBN,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Carbonate Ion"", ""b"": ""Potassium Bicarbonate"", ""gsrs_relationship"": null, ""inchikey_a"": ""BVKZGUZCCUSVTD-UHFFFAOYSA-N"", ""inchikey_b"": ""TYJJADVDDVDEDZ-UHFFFAOYSA-M"", ""name_a"": ""carbonate ion"", ""name_b"": ""potassium"", ""origin"": ""suspected-nominal:bicarbonate"", ""unii_a"": ""7UJQ5OPE7D"", ""unii_b"": ""HM5Z15LEBN""}"
K1:7UP781YBR6,K1:N91BDP6H0X,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Salcolex Anhydrous"", ""b"": ""Choline"", ""inchikey_child"": ""JFFTWGWKXDKILV-UHFFFAOYSA-J"", ""inchikey_parent"": ""OEYIOHPDSNJKLS-UHFFFAOYSA-N"", ""name_child"": ""salcolex"", ""name_parent"": ""choline"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:884KT10YB7,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Ranitidine"", ""b"": ""Anhydrous Citric Acid"", ""inchikey_child"": ""VMXUWOKSQNHOCA-UHFFFAOYSA-N"", ""inchikey_parent"": ""KRKNYBCHXYNGOX-UHFFFAOYSA-N"", ""name_child"": ""ranitidine"", ""name_parent"": ""anhydrous citric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:8MDF5V39QO,K1:NPT6P8P3UU,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Sodium Bicarbonate"", ""b"": ""Potassium Bitartrate"", ""gsrs_relationship"": null, ""inchikey_a"": ""UIIMBOGNXHQVGW-UHFFFAOYSA-M"", ""inchikey_b"": ""KYKNRZGSIGMXFH-ZVGUSBNCSA-M"", ""name_a"": ""sodium"", ""name_b"": ""potassium"", ""origin"": ""slug-collision:potassium-bitartrate"", ""unii_a"": ""8MDF5V39QO"", ""unii_b"": ""NPT6P8P3UU""}"
K1:8QTV3DTT8W,K4:chondroitin,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Chondroitin Sulfate Sodium (BOVINE)"", ""b"": ""Chondroitin"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""chondroitin sulfate sodium bovine"", ""name_b"": ""chondroitin"", ""origin"": ""suspected-nominal:chondroitin"", ""unii_a"": ""8QTV3DTT8W"", ""unii_b"": null}"
K1:941N5DUU5C,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:GLS2PGI8QG"", ""K1:941N5DUU5C""], ""origin"": ""suspected-nominal:sevelamer""}"
K1:941N5DUU5C,K1:9YCX42I8IU,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"{""a"": ""Sevelamer"", ""b"": ""Sevelamer Carbonate"", ""class_a"": ""polymer"", ""class_b"": ""polymer"", ""normalised"": ""sevelamer"", ""origin"": ""name:sevelamer"", ""unii_a"": ""941N5DUU5C"", ""unii_b"": ""9YCX42I8IU""}"
K1:94ZLA3W45F,K4:arginine l malate,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""Arginine"", ""b"": ""Arginine-L-Malate"", ""inchikey_a"": ""ODKSFYDXXFIFQN-BYPYZUCNSA-N"", ""inchikey_b"": null, ""normalised"": ""arginine"", ""origin"": ""name:arginine"", ""unii_a"": ""94ZLA3W45F"", ""unii_b"": null}"
K1:94ZLA3W45F,K4:arginine orotate,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""Arginine"", ""b"": ""Arginine Orotate"", ""inchikey_a"": ""ODKSFYDXXFIFQN-BYPYZUCNSA-N"", ""inchikey_b"": null, ""normalised"": ""arginine"", ""origin"": ""name:arginine"", ""unii_a"": ""94ZLA3W45F"", ""unii_b"": null}"
K1:9U6A490501,K2:ZAKOWWREFLAJOT-ADUHFSDSSA-N,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": "".BETA.-TOCOPHEROL"", ""b"": ""TOCOPHEROL ACETATE"", ""gsrs_relationship"": null, ""inchikey_a"": ""WGVKWNUPNGFDFJ-DQCZWYHMSA-N"", ""inchikey_b"": ""ZAKOWWREFLAJOT-ADUHFSDSSA-N"", ""name_a"": ""beta tocopherol"", ""name_b"": ""tocopherol"", ""origin"": ""slug-collision:vitamin-e"", ""unii_a"": ""9U6A490501"", ""unii_b"": ""9E8X80D2L0""}"
K1:BGF9MN2HU1,K1:N91BDP6H0X,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Fenofibric Acid"", ""b"": ""Choline"", ""inchikey_child"": ""MQOBSOSZFYZQOK-UHFFFAOYSA-N"", ""inchikey_parent"": ""OEYIOHPDSNJKLS-UHFFFAOYSA-N"", ""name_child"": ""fenofibric acid"", ""name_parent"": ""choline"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:BQN1B9B9HA,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other","{""displayName"": ""Potassium Carbonate"", ""normalised"": ""potassium""}"
K1:C5529G5JPQ,K1:SAS9Z1SVUK,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Ginger"", ""b"": ""Ginger Oil"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""ginger"", ""name_b"": ""ginger oil"", ""origin"": ""suspected-nominal:ginger"", ""unii_a"": ""C5529G5JPQ"", ""unii_b"": ""SAS9Z1SVUK""}"
K1:DJJ95FJP1H,K1:N91BDP6H0X,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""CHOLINE MAGNESIUM TRISALICYLATE"", ""b"": ""Choline"", ""inchikey_child"": ""FQCQGOZEWWPOKI-UHFFFAOYSA-K"", ""inchikey_parent"": ""OEYIOHPDSNJKLS-UHFFFAOYSA-N"", ""name_child"": ""choline magnesium trisalicylate"", ""name_parent"": ""choline"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:E6S1NJ4Y5Q,K1:SMD1X3XO9M,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""CELLULOSE SODIUM PHOSPHATE"", ""b"": ""Powdered Cellulose"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""cellulose"", ""name_b"": ""powdered cellulose"", ""origin"": ""suspected-nominal:cellulose"", ""unii_a"": ""E6S1NJ4Y5Q"", ""unii_b"": ""SMD1X3XO9M""}"
K1:EAO03PE1TC,K1:2WTB3V159F,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Hydrogen Cyanide"", ""b"": ""SODIUM NITROPRUSSIDE"", ""inchikey_child"": ""SPBWMYPZWNFWES-UHFFFAOYSA-N"", ""inchikey_parent"": ""LELOWRISYMNNSU-UHFFFAOYSA-N"", ""name_child"": ""sodium nitroprusside"", ""name_parent"": ""hydrogen cyanide"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:F60NE4XB53,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:2AW48LAZ4I"", ""K1:F60NE4XB53""], ""origin"": ""suspected-nominal:imetelstat""}"
K1:F6A27P4Q4R,K1:H6241UJ22B,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Selenious Acid"", ""b"": ""Selenium"", ""gsrs_relationship"": null, ""inchikey_a"": ""MCAHWIHFGHIESP-UHFFFAOYSA-N"", ""inchikey_b"": ""BUGBHKTXTAQXES-UHFFFAOYSA-N"", ""name_a"": ""selenious acid"", ""name_b"": ""selenium"", ""origin"": ""slug-collision:selenious-acid"", ""unii_a"": ""F6A27P4Q4R"", ""unii_b"": ""H6241UJ22B""}"
K1:FB33469R8E,K2:GJUHUIXJLZINMA-MJCUULBUSA-N,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Estriol"", ""b"": ""ESTROGEN"", ""gsrs_relationship"": null, ""inchikey_a"": ""PROQIPRRNZUXQM-ZXXIGWHRSA-N"", ""inchikey_b"": ""GJUHUIXJLZINMA-MJCUULBUSA-N"", ""name_a"": ""estriol"", ""name_b"": ""estrogen"", ""origin"": ""slug-collision:estriol"", ""unii_a"": ""FB33469R8E"", ""unii_b"": ""IU5QR144QX""}"
K1:FD57A79R4P,K1:N91BDP6H0X,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""TIOMOLIBDATE CHOLINE"", ""b"": ""Choline"", ""inchikey_child"": ""FSWNJZRQQVVVJT-UHFFFAOYSA-L"", ""inchikey_parent"": ""OEYIOHPDSNJKLS-UHFFFAOYSA-N"", ""name_child"": ""tiomolibdate"", ""name_parent"": ""choline"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:FO2303MNI2,K1:L99N5N533T,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""DIMETHYL FUMARATE"", ""b"": ""Ethane"", ""gsrs_relationship"": null, ""inchikey_a"": ""LDCRTTXIJACKKU-ONEGZZNKSA-N"", ""inchikey_b"": ""OTMSDBZUPAUEDD-UHFFFAOYSA-N"", ""name_a"": ""dimethyl"", ""name_b"": ""ethane"", ""origin"": ""suspected-nominal:dimethyl"", ""unii_a"": ""FO2303MNI2"", ""unii_b"": ""L99N5N533T""}"
K1:I3T12NR296,K1:YEH1EZ96K6,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Prednienic Acid"", ""b"": ""Loteprednol Etabonate"", ""gsrs_relationship"": null, ""inchikey_a"": ""MCKJPJYRCPANCC-XLXYOEISSA-N"", ""inchikey_b"": ""DMKSVUSAATWOCU-HROMYWEYSA-N"", ""name_a"": ""prednienic acid"", ""name_b"": ""loteprednol etabonate"", ""origin"": ""suspected-nominal:loteprednol"", ""unii_a"": ""I3T12NR296"", ""unii_b"": ""YEH1EZ96K6""}"
